### 112年3月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | $ 3,107,644 | $ 2,274 | $ 985,107 | $ 4,095,025 |
| 透過損益按公允價值衡量之金融負債 | $ - | $ 105 | $ 585 | $ 690 |
| 透過其他綜合損益按公允價值衡量之金融資產 | $ 18,586,737 | $ - | $ 36,275,774 | $ 54,862,511 |
| 避險之金融資產 | $ - | $ 582,452 | $ - | $ 582,452 |
| 避險之金融負債 | $ - | $ 2,235 | $ - | $ 2,235 |

### 111年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | $ 2,532,339 | $ 2,439 | $ 963,843 | $ 3,498,621 |
| 透過其他綜合損益按公允價值衡量之金融資產 | $ - | $ - | $ 34,453,691 | $ 34,453,691 |
| 國內上市（櫃）股票 | 14,566,871 | - | - | 14,566,871 |
