### 财务报告分析

#### 1. 子公司列表

| 投资公司名称 | 子公司名称 | 持股百分比 | 说明 |
|--------------|------------|------------|------|
| 统一企业(股)公司 | Cayman President Holdings Ltd. | 100.00 | 经营专业投资业务 |
| 统一企业(股)公司 | 凯友投资(股)公司 | 100.00 | 经营专业投资业务 |
| 统一企业(股)公司 | 凯南投资(股)公司 | 100.00 | 经营专业投资业务 |
| 统一企业(股)公司 | President Global Corp. | 100.00 | 进口速食面、果汁罐头 |
| 统一企业(股)公司 | 统上开发建设(股)公司 | 100.00 | 建筑业 |
| 统一企业(股)公司 | 统义玻璃工业(股)公司 | 100.00 | 玻璃制品之制造及买卖等 |
| 统一企业(股)公司 | 统一速迈自贩(股)公司 | 100.00 | 饮料、食品批发零售 |
| 统一企业(股)公司 | 统一数网(股)公司 | 100.00 | 资讯业 |
| 统一企业(股)公司 | 统一梦公园生活事业(股)公司 | 100.00 | 食品等销售、一般广告及旅游咨询服务等 |
| 统一企业(股)公司 | 统一棒球队(股)公司 | 100.00 | 职业棒球 |
| 统一企业(股)公司 | 统流开发(股)公司 | 100.00 | 物流配送等 |
| 统一企业(股)公司 | 统乐开发事业(股)公司 | 100.00 | 高尔夫球练习场等休闲娱乐事业 |
| 统一企业(股)公司 | 统一生机开发(股)公司 | 100.00 | 米粮、蔬菜、茶、饮料等销售 |
| 统一企业(股)公司 | 统正开发(股)公司 | 100.00 | 购物中心、百货公司及国际贸易业务等 |
| 统一企业(股)公司 | 统合开发(股)公司 | 100.00 | 休闲娱乐产业之经营管理 |
| 统一企业(股)公司 | 南联国际贸易(股)公司 | 100.00 | 经营贸易及相关的国内外买卖业务等 |
| 统一企业(股)公司 | 统健实业(股)公司 | 100.00 | 健康食品销售 |
| 统一企业(股)公司 | 统一国际开发(股)公司 | 76.70 | 产业投资 |
| 统一企业(股)公司 | 统一开发(股)公司 | 70.00 | 转运站及附属设施之营运 |
| 统一企业(股)公司 | 德记洋行(股)公司 | 65.40 | 产品之行销代理及物流等业务 |

#### 2. 财务数据

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 库存现金 | $ 1,777 | $ 1,750 | $ 2,137 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 3. 说明

- 本合併財務報告之編製原則與110年度合併財務報告相同。
- 列入合併財務報告之子公司：
