由于图像中的内容是中文文本，无法直接提取表格数据。以下是对文本内容的分析和整理：

### 其他重大会计政策说明
1. 确定福利退职后福利
   - 期中期间之退休金成本係採用前一年度结束日依精算决定之退休金成本率，以年初至當期末為基礎計算，並針對本期重大市場波動，及重大計畫修正、清償或其他重大一次性事項加以調整。

2. 所得税
   - 所得税費用係當期所得稅及遞延所得稅之總和。期中期間之所得稅係以年度為基礎進行評估，以預期年度總盈餘所適用之稅率，就期中稅前利益予以計算。

### 重大会计判断、估计及假设不确定性之主要来源
- 本合併財務報告所採用之重大会计判断、估计及假设不确定性主要来源與110年度合併財務報告相同。

### 结构化数据输出
由于没有表格数据，以下仅为文本内容的整理：

#### 其他重大会计政策说明
1. 确定福利退职后福利
   - 期中期间之退休金成本係採用前一年度结束日依精算决定之退休金成本率，以年初至當期末為基礎計算，並針對本期重大市場波動，及重大計畫修正、清償或其他重大一次性事項加以調整。

2. 所得税
   - 所得税費用係當期所得稅及遞延所得稅之總和。期中期間之所得稅係以年度為基礎進行評估，以預期年度總盈餘所適用之稅率，就期中稅前利益予以計算。

#### 重大会计判断、估计及假设不确定性之主要来源
- 本合併財務報告所採用之重大会计判断、估计及假设不确定性主要来源與110年度合併財務報告相同。
