### 财务报告

#### 投资公司名称
| 投资公司名称 | 子公司名称 | 持股比例（%） | 111年3月31日 | 111年12月31日 | 111年3月31日 | 说明 |
|--------------|------------|----------------|--------------|---------------|--------------|------|
| 本 公 司     | 東成石礦股份有限公司（東成石礦公司） | 石炭石買賣及礦區 | 99.5 | 99.5 | 99.5 | - |
| 本 公 司     | 金昌石礦股份有限公司（金昌石礦公司） | 石炭石買賣及礦區 | 100.0 | 100.0 | 100.0 | - |
| 本 公 司     | 和平工業區專用港實業股份有限公司（和平港公司） | 和平工業區專用港之經營管理 | 100.0 | 100.0 | 100.0 | (8) |
| 本 公 司     | TCC International Ltd.（TCCI） | 投資控股 | 100.0 | 100.0 | 100.0 | (8) |
| 本 公 司     | TCCMOLI Holdings (Singapore) Pte. Ltd.（TCCMOLI） | 投資控股 | - | 100.0 | 100.0 | (4) |
| 本 公 司     | 和平電力股份有限公司（和平電力公司） | 火力發電 | 59.5 | 59.5 | 59.5 | (8) |
| 本 公 司     | 英屬維京群島商和平企業經營管理顧問股份有限公司（和平營管公司） | 企業顧問輔導 | 60.0 | 60.0 | 60.0 | - |
| 本 公 司     | 萬青水泥股份有限公司（萬青水泥公司） | 水泥買賣 | 50.6 | 50.6 | 50.6 | - |
| 本 公 司     | 鳳勝實業股份有限公司（鳳勝實業公司） | 預拌混凝土買賣 | 45.4 | 45.4 | 45.4 | (3) |
| 本 公 司     | Trans Philippines Mineral Corp.（TPMC） | 採礦 | 40.0 | 40.0 | 40.0 | (3) |
| 本 公 司     | Taicorn Minerals Corp.（TMC） | 採礦 | 72.7 | 72.7 | 72.7 | - |
| 本 公 司     | 達榮環保股份有限公司（達榮環保公司） | 廢棄物之清除及處理 | 66.6 | 66.6 | 66.6 | - |
| 本 公 司     | 合盛礦業股份有限公司（合盛礦業公司） | 開採及買賣礦石 | 100.0 | 100.0 | 100.0 | - |
| 本 公 司     | TCC International Holdings Ltd.（TCCIH） | 投資控股 | 41.8 | 38.3 | 38.3 | (1) (8) |
| 本 公 司     | Taiwan Cement (Dutch) Holdings B.V.（TCC Dutch） | 投資控股 | 100.0 | 100.0 | 100.0 | (8) |
| 本 公 司     | 台泥永續能源投資股份有限公司（台泥永續能源公司） | 投資控股 | 100.0 | 100.0 | 100.0 | - |
| 本 公 司     | 台泥儲能科技股份有限公司（台泥儲能公司） | 儲能設備製造、生產及銷售相關業務 | 100.0 | 100.0 | 100.0 | - |
| 本 公 司     | 妥善循環科技股份有限公司（妥善循環公司） | 廢棄物之清除及處理 | 100.0 | 100.0 | - | (4) |
| 本 公 司     | 台泥循環能源股份有限公司（台泥循環能源公司） | 投資控股 | 63.3 | 63.3 | - | (2) (8) |
| 台灣通運公司 | 萬青水泥公司 | 水泥買賣 | 49.4 | 49.4 | 49.4 | - |
| 台灣通運公司 | 達和航運公司 | 航運承攬 | 29.2 | 29.2 | 29.2 | (6) (8) |
| 台灣通運公司 | 台捷通運股份有限公司（台捷通運公司） | 航運 | 100.0 | 100.0 | 100.0 | - |
| 信昌投資公司 | 聯誠貿易股份有限公司（聯誠貿易公司） | 進出口貿易 | 100.0 | 100.0 | 100.0 | - |
| 信昌投資公司 | 和平電力公司 | 火力發電 | 0.5 | 0.5 | 0.5 | (8) |
| 信昌投資公司 | 達和航運公司 | 航運承攬 | - | - | - | (8) |
| 信昌投資公司 | 台泥循環能源公司 | 投資控股 | 1.9 | 1.9 | - | (2) (8) |
| HKCMCL | TCC Development Ltd. | 物業收租 | 100.0 | 100.0 | 100.0 | - |
| 達和航運公司 | Ta-Ho Maritime Holdings Ltd. | 一般投資 | 100.0 | 100.0 | 100.0 | - |
| 台泥資訊公司 | 台訊（薩摩亞）有限公司 | 一般投資 | 100.0 | 100.0 | 100.0 | - |
| 和平港公司 | 台泥循環能源公司 | 投資控股 | 0.7 | 0.7 | - | (2) (8) |
| TCCI | TCCIH | 投資控股 | 58.2 | 61.7 | 61.7 | (1) (8) |
| TPMC | TMC | 採礦 | 18.2 | 18.2 | 18.2 | - |
| 聯誠貿易公司 | 台灣通運公司 | 儲備運輸及砂石買賣 | 0.7 | 0.7 | 0.7 | - |
| 聯誠貿易公司 | 台泥循環能源公司 | 投資控股 | 1.9 | 1.9 | - | (2) (8) |
| 和平電力公司 | 和平再生能源股份有限公司 | 再生能源發電 | 100.0 | 100.0 | 100.0 | - |
| 台泥綠能公司 | 彰旺風力發電股份有限公司 | 再生能源發電 | 100.0 | 100.0 | 100.0 | - |
| 台泥綠能公司 | 台泥南沖綠能股份有限公司 | 再生能源發電 | 100.0 | 100.0 | 100.0 | - |
| 台泥綠能公司 | 台泥高誠綠能股份有限公司 | 再生能源發電 | 100.0 | 100.0 | 100.0 | - |
| 台泥綠能公司 | 台泥彰和綠能股份有限公司 | 再生能源發電 | 100.0 | 100.0 | 100.0 | - |
| 台泥綠能公司 | 台泥嘉謙綠能股份有限公司 | 再生能源發電 | 100.0 | 100.0 | 100.0 | - |

### 财务报告（续）

#### 投资
