### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 電腦軟體 | $ 1,973,456 | $ 1,148,301 | $ 1,148,301 |
| 權利金 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 商譽 | $ 1,148,301 | $ 1,148,301 | $ 1,148,301 |
| 其他 | $ 48,435 | $ 48,435 | $ 48,435 |
| 合計 | $ 3,170,192 | $ 3,170,192 | $ 3,170,192 |

### 无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月3
