关系人名称 | 与本集团之关系
------------ | -------------
ESON PRECISION IND. CO., LTD.及其子公司 | 关联企业
GENERAL INTERFACE SOLUTION HOLDING LIMITED之子公司 | "
ZHENG DING TECHNOLOGY CO., LTD.及其子公司 | "
桦汉科技股份有限公司及其子公司 | "
京鼎精密科技股份有限公司及其子公司 | "
天鈺科技股份有限公司及其子公司 | 註1
河南中富康数显有限公司 | 关联企业
北京恒誉新能源汽车租赁有限公司 | "
杭州耕德电子有限公司 | "
珠海凌烟阁芯片科技有限公司 | "
创星物联科技股份有限公司 | "
海濛科技(深圳)有限公司 | "
周口耕德电子有限公司 | "
四川成工富创科技有限公司 | "
雲智匯科技服务股份有限公司及其子公司 | "
河南眾驰富聯精工科技有限公司 | "
台湾智慧光網股份有限公司 | "
深圳市小河电子商务有限公司 | "
北京清菡科技有限公司 | "
移動商務股份有限公司 | "
AMAX ENGINEERING CORPORATION | "
菲仕康国际货运代理(上海)有限公司 | "
鹤壁耕德电子有限公司 | "
廣東京之映科技有限公司 | "
珠海艾盛科技有限公司 | "
青岛新核芯科技有限公司 | "
鼎捷软件股份有限公司 | "
中揚光电股份有限公司 | "
LINKSYS PTE LTD | "
LINKSYS CAYMAN, LLC | "
騰夏汽车科技(无锡)有限公司 | "
FSK L&S CO., LTD. | "
深圳市中建南方环境股份有限公司 | "
深圳市超捷通讯有限公司 | "
富智捷股份有限公司 | "
領勢貿易(上海)有限公司 | "
深圳市牧激科技有限公司 | "
SAKAI DISPLAY PRODUCTS CORPORATION | "
