### 111年

| 项目 | 土地 | 房屋及建筑 | 合计 |
|------|------|------------|------|
| 1月1日 | $ 1,396,740 | $ 5,802,784 | $ 7,199,524 |
| 累计折旧 | - | (1,428,440) | (1,428,440) |
| 1月1日 | $ 1,396,740 | $ 4,374,344 | $ 5,771,084 |
| 增添 | - | 1,651 | 1,651 |
| 重分类 | - | 929,974 | 929,974 |
| 折旧费用 | - | (57,487) | (57,487) |
| 企业合并取得数 | 650,355 | 120,297 | 770,652 |
| 损益差额 | (19,935) | 138,194 | 118,259 |
| 3月31日 | $ 2,027,160 | $ 5,506,973 | $ 7,534,133 |

### 110年

| 项目 | 土地 | 房屋及建筑 | 合计 |
|------|------|------------|------|
| 1月1日 | $ 1,396,755 | $ 4,674,765 | $ 6,071,520 |
| 累计折旧 | - | (900,008) | (900,008) |
| 1月1日 | $ 1,396,755 | $ 3,774,757 | $ 5,171,512 |
| 折旧费用 | - | (38,264) | (38,264) |
| 损益差额 | 13 | 63,399 | 63,412 |
| 3月31日 | $ 1,396,768 | $ 3,799,892 | $ 5,196,660 |

### 112年3月31日

| 项目 | 土地 | 房屋及建筑 | 合计 |
|------|------|------------|------|
| 累计折旧 | - | (946,025) | (946,025) |
| 3月31日 | $ 1,396,768 | $ 3,799,892 | $ 5,196,660 |
