### 财务报告

#### (二十四)其他收益及费用净额

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 处分不动产、厂房及设备净利益 | $290,879 | $34,964 |

#### (二十五)利息收入

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 银行存款利息 | $129,540 | $43,527 |
| 按摊销后成本衡量之金融资产利息收入 | $113,610 | $18,686 |
| 总计 | $243,150 | $62,213 |

#### (二十六)其他收入

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租金收入 | $54,163 | $56,817 |
| 股利收入 | $26,518 | $21,274 |
| 其他收入 | $45,384 | $39,850 |
| 总计 | $126,065 | $117,941 |

#### (二十七)其他利益及损失

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 处分投资净利益 | $ - | $2,198 |
| 租赁修改净利益（损失） | $17 | $(559) |
| 外币兑换净利益 | $359,849 | $84,446 |
| 透过损益按公允价值衡量之金融资产/负债净（损）益 | $1,772 | $(28,432) |
| 处分使用权资产净损失 | $(342) | $(263) |
| 投资性不动产折旧费用 | $(57,487) | $(38,264) |
| 什项支出 | $(72,783) | $(46,499) |
| 总计 | $231,026 | $(27,373) |

#### (二十八)财务成本

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 利息费用： | | |
| 银行借款 | $201,025 | $306,934 |
| 公司债 | $27,394 | $33,246 |
| 租赁负债 | $528,981 | $586,806 |
| 总计 | $757,400 | $926,986 |
| 减：符合要件之资产资本化金额 | $(4,288) | $(43,618) |
| 总计 | $753,112 | $883,368 |

### Markdown表格格式

```markdown
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 处分不动产、厂房及设备净利益 | $290,879 | $34,964 |
| 银行存款利息 | $129,540 | $43,527 |
| 按摊销后成本衡量之金融资产利息收入 | $113,610 | $18,686 |
| 租金收入 | $54,163 | $56,817 |
| 股利收入 | $26,518 | $21,274 |
| 其他收入 | $45,384 | $39,850 |
| 处分投资净利益 | $ - | $2,198 |
| 租赁修改净利益（损失） | $17 | $(559) |
| 外币兑换净利益 | $359,849 | $84,446 |
| 透过损益按公允价值衡量之金融资产/负债净（损）益 | $1,772 | $(28,432) |
| 处分使用权资产净损失 | $(342) | $(263) |
| 投资性不动产折旧费用 | $(57,487) | $(38,264) |
| 什项支出 | $(72,783) | $(46,499) |
| 利息费用： | | |
| 银行借款 | $201,025 | $306,934 |
| 公司债 | $27,394 | $33,246 |
| 租赁负债 | $528,981 | $586,806 |
| 总计 | $757,400 | $926,986 |
| 减：符合要件之资产资本化金额 | $(4,288) | $(43,618) |
| 总计 | $753,112 | $883,368 |
```
