### 财务报告 - 无无形资产

#### 112年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 21,590,328 | $ 18,269,710 | $ 21,325,454 | $ 24,774,786 |
| 特许权 | $ 10,617,875 | $ 6,617,359 | $ 6,094,301 | $ 10,617,876 |
| 专利权 | $ 4,831,836 | $ 1,031,644 | $ 585,018 | $ 4,663,182 |
| 商标权 | $ 9,564,095 | $ 8,185,974 | $ 8,108,471 | $ 9,931,372 |
| 已发展技术 | $ 12,259,966 | $ 8,207,836 | $ 8,699,628 | $ 13,786,572 |
| 客户关系 | $ 1,515,078 | $ 816,877 | $ 1,827,757 | $ 2,670,357 |
| 電脑軟體成本 | $ 9,927,635 | $ 3,530,639 | $ 3,886,199 | $ 11,447,037 |
| 合计 | $ 70,306,813 | $ 46,660,039 | $ 50,526,828 | $ 77,891,182 |

#### 112年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 21,590,328 | $ 18,269,710 | $ 21,325,454 | $ 24,774,786 |
| 特许权 | $ 10,617,875 | $ 6,617,359 | $ 6,094,301 | $ 10,617,876 |
| 专利权 | $ 4,831,836 | $ 1,031,644 | $ 585,018 | $ 4,663,182 |
| 商标权 | $ 9,564,095 | $ 8,185,974 | $ 8,108,471 | $ 9,931,372 |
| 已发展技术 | $ 12,259,966 | $ 8,207,836 | $ 8,699,628 | $ 13,786,572 |
| 客户关系 | $ 1,515,078 | $ 816,877 | $ 1,827,757 | $ 2,670,357 |
| 電脑軟體成本 | $ 9,927,635 | $ 3,530,639 | $ 3,886,199 | $ 11,447,037 |
| 合计 | $ 70,306,813 | $ 46,660,039 | $ 50,526,828 | $ 77,891,182 |

#### 112年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 21,590,328 | $ 18,269,710 | $ 21,325,454 | $ 24,774,786 |
| 特许权 | $ 10,617,875 | $ 6,617,359 | $ 6,094,301 | $ 10,617,876 |
| 专利权 | $ 4,831,836 | $ 1,031,644 | $ 585,018 | $ 4,663,182 |
| 商标权 | $ 9,564,095 | $ 8,185,974 | $ 8,108,471 | $ 9,931,372 |
| 已发展技术 | $ 12,259,966 | $ 8,207,836 | $ 8,699,628 | $ 13,786,572 |
| 客户关系 | $ 1,515,078 | $ 816,877 | $ 1,827,757 | $ 2,670,357 |
| 電脑軟體成本 | $ 9,927,635 | $ 3,530,639 | $ 3,886,199 | $ 11,447,037 |
| 合计 | $ 70,306,813 | $ 46,660,039 | $ 50,526,828 | $ 77,891,182 |

#### 112年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 21,590,328 | $ 18,269,710 | $ 21,325,454 | $ 24,774,786 |
| 特许权 | $ 10,617,875 | $ 6,617,359 | $ 6,094,301 | $ 10,617,876 |
| 专利权 | $ 4,831,836 | $ 1,031,644 | $ 585,018 | $ 4,663,182 |
| 商标权 | $ 9,564,095 | $ 8,185,974 | $ 8,108,471 | $ 9,931,372 |
| 已发展技术 | $ 12,259,966 | $ 8,207,836 | $ 8,699,628 | $ 13,786,572 |
| 客户关系 | $ 1,515,078 | $ 816,877 | $ 1,827,757 | $ 2,670,357 |
| 電脑軟體成本 | $ 9,927,635 | $ 3,530,639 | $ 3,886,199 | $ 11,447,037 |
| 合计 | $ 70,306,813 | $ 46,660,039 | $ 50,526,828 | $ 77,891,182 |
