由于您提供的图像包含大量的文本内容，而没有明确的表格结构，我将尝试提取和分析其中的财务数据。请注意，由于缺乏明确的表格结构，我将无法生成结构化数据输出。以下是对图像中财务数据的提取和分析：

### 财务数据提取

1. **流动资产**
   - **预期将於正常營業週期中實現該資產，或意圖將其出售或消耗者。**
   - **主要為交易目的而持有者。**
   - **預期於資產負債表日後十二個月內實現者。**
   - **現金或約當現金，但於資產負債表日後至少十二個月交換或用以清償負債受到限制者除外。**

2. **負債符合下列條件之一者，分類為流動負債：**
   - **預期將於正常營業週期中清償者。**
   - **主要為交易目的而持有者。**
   - **預期於資產負債表日後十二個月內到期清償者。**
   - **不能無條件將清償期限遞延至資產負債表日後至少十二個月者。負債之條款，可能依交易對方之選擇，以發行權益工具而導致清償者，不影響其分類。**

3. **約當現金**
   - **約當現金係指短期並具高度流動性之投資，該投資可隨時轉換成定額現金且價值變動之風險甚小。定期存款符合前述定義且其持有目的係為滿足營運上之短期現金承諾者，分類為約當現金。**

4. **按攤銷後成本衡量之金融資產**
   - **係指同時符合下列條件者：**
     - **在以收取合約現金流量為目的之經營模式下持有該金融資產。**
     - **該金融資產之合約條款產生特定日期之現金流量，完全為支付本金及流通在外本金金額之利息。**

5. **本集團對於符合交易慣例之按攤銷後成本衡量之金融資產係採用交易日會計。**

### 财务数据分析

- **流动资产**：包括现金、短期投资等，预期在正常营业周期内实现或出售。
- **流动负债**：包括短期借款、应付账款等，预期在正常营业周期内清偿。
- **约当现金**：短期且高度流动性的投资，可随时转换为定额现金。
- **按摊销后成本衡量的金融资产**：在收取合同现金流量的经营模式下持有，合同条款产生特定日期的现金流量。

请注意，由于缺乏明确的表格结构，上述分析仅基于文本内容。如果您有具体的表格数据或需要进一步的分析，请提供更详细的信息。
