### (二) 公允價值資訊－以重複性基礎按公允價值衡量之金融工具

#### 1. 公允價值層級

| 日期 | 第 1 等 級 | 第 2 等 級 | 第 3 等 級 | 合 計 |
|------|------------|------------|------------|------|
| 111 年 3 月 31 日 | | | | |
| 強制透過損益按公允價值衡量之金融資產 | | | | |
| 國內上市櫃股票 | $ 264,355 | $ - | $ - | $ 264,355 |
| 國內興櫃股票 | 105,867 | - | - | 105,867 |
| $ 370,222 | $ - | $ - | $ 370,222 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 6,924,572 | $ - | $ - | $ 6,924,572 |
| 國外上市股票 | 18,502,969 | - | - | 18,502,969 |
| 國內上市私募股票 | - | 1,167,623 | - | 1,167,623 |
| 國內未上市櫃股票 | - | - | 8,679,372 | 8,679,372 |
| 國內可轉換特別股 | 53,430 | - | - | 53,430 |
| $ 25,480,971 | $ 1,167,623 | $ 8,679,372 | $ 35,327,966 |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 衍生工具－可轉換公司債轉回及賣回權 | $ - | $ - | $ 461,702 | $ 461,702 |
| 110 年 12 月 31 日 | | | | |
| 強制透過損益按公允價值衡量之金融資產 | | | | |
| 衍生工具－可轉換公司債轉回及賣回權 | $ 256,588 | $ - | $ - | $ 256,588 |
| 國內上市櫃股票 | 107,225 | - | - | 107,225 |
| 國內興櫃股票 | $ 363,813 | $ - | $ - | $ 363,813 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 6,335,655 | $ - | $ - | $ 6,335,655 |
| 國外上市股票 | 17,615,868 | - | - | 17,615,868 |
| 國內上市私募股票 | - | 1,255,794 | - | 1,255,794 |
| 國內未上市櫃股票 | - | - | 8,964,202 | 8,964,202 |
| 國內可轉換特別股 | 51,888 | - | - | 51,888 |
| $ 24,003,411 | $ 1,255,794 | $ 8,964,202 | $ 34,223,407 |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 衍生工具－可轉換公司債轉回及賣回權 | $ - | $ - | $ 213,062 | $ 213,062 |

#### 111年3月31日
| 日期 | 第 1 等 級 | 第 2 等 級 | 第 3 等 級 | 合 計 |
|------|------------|------------|------------|------|
| 強制透過損益按公允價值衡量之金融資產 | | | | |
| 國內上市櫃股票 | $ 264,355 | $ - | $ - | $ 264,355 |
| 國內興櫃股票 | 105,867 | - | - | 105,867 |
| $ 370,222 | $ - | $ - | $ 370,222 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 6,924,572 | $ - | $ - | $ 6,924,572 |
| 國外上市股票 | 18,502,969 | - | - | 18,502,969 |
| 國內上市私募股票 | - | 1,167,623 | - | 1,167,623 |
| 國內未上市櫃股票 | - | - | 8,679,372 | 8,679,372 |
| 國內可轉換特別股 | 53,430 | - | - | 53,430 |
| $ 25,480,971 | $ 1,167,623 | $ 8,679,372 | $ 35,327,966 |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 衍生工具－可轉換公司債轉回及賣回權 | $ - | $ - | $ 461,702 | $ 461,702 |

#### 110年12月31日
| 日期 | 第 1 等 級 | 第 2 等 級 | 第 3 等 級 | 合 計 |
|------|------------|------------|------------|------|
| 強制透過損益按公允價值衡量之金融資產 | | | | |
| 衍生工具－可轉換公司債轉回及賣回權 | $ 256,588 | $ - | $ - | $ 256,588 |
| 國內上市櫃股票 | 107,225 | - | - | 107,225 |
| 國內興櫃股票 | $ 363,813 | $ - | $ - | $ 363,813 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 6,335,655 | $ - | $ - | $ 6,335,655 |
| 國外上市股票 | 17,615,868 | - | - | 17,615,868 |
| 國內上市私募股票 | - | 1,255,794 | - | 1,255,794 |
| 國內未上市櫃股票 | - | - | 8,964,202 | 8,964,202 |
| 國內可轉換特別股 | 51,888 | - | - | 51,888 |
| $ 24,003,411 | $ 1,255,794 | $ 8,964,202 | $ 34,223,407 |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 衍生工具－可轉換公司債轉回及賣回權 | $ - | $ - | $ 213,062 | $ 213,062 |
