### 财务报告分析

#### 1. 流动性分析

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 341,767 | $ 161,905 | $ 88,707 |
| 金融资产 - 非流动 | | | |
| 现金流量避险 | | | |
| 远期外汇合约 | $ 10,914 | $ - | $ 7,120 |
| 国外营运机构净投资避险 | | | |
| 换汇换利合约 | $ 768,924 | $ 831,882 | $ 549,355 |
| 总计 | $ 779,838 | $ 831,882 | $ 556,475 |
| 金融负债 - 非流动 | | | |
| 现金流量避险 | | | |
| 换汇换利合约 | $ 892,681 | $ 940,826 | $ 657,936 |
| 远期外汇合约 | - | $ 7,541 | - |
| 总计 | $ 892,681 | $ 948,367 | $ 657,936 |

#### 2. 非流动性分析

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | | | |
| 远期外汇合约 | | | |
| 国外营运机构净投资避险 | | | |
| 换汇换利合约 | | | |
| 总计 | | | |

#### 3. 信用风险评估

合併公司僅投資於信用評等為投資等級以上（含）且於減損評估屬信用風險低之債務工具，信用評等資訊係由獨立評等機構提供。合併公司持續追蹤外部評等資訊以監督所投資債務工具之信用風險變化，同時並檢視債券殖利率曲線及債務人重大訊息等其他資訊，以評估債務工具投資自原始認列後信用風險是否顯著增加。

#### 4. 金融工具

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 金融资产 - 流动 | | | |
| 现金流量避险 | | | |
| 远期外汇合约 | $ 341,767 | $ 161,905 | $ 88,707 |
| 金融资产 - 非流动 | | | |
| 现金流量避险 | | | |
| 远期外汇合约 | $ 10,914 | $ - | $ 7,120 |
| 国外营运机构净投资避险 | | | |
| 换汇换利合约 | $ 768,924 | $ 831,882 | $ 549,355 |
| 总计 | $ 779,838 | $ 831,882 | $ 556,475 |
| 金融负债 - 非流动 | | | |
| 现金流量避险 | | | |
| 换汇换利合约 | $ 892,681 | $ 940,826 | $ 657,936 |
| 远期外汇合约 | - | $ 7,541 | - |
| 总计 | $ 892,681 | $ 948,367 | $ 657,936 |

#### 5. 信用风险评估

合併公司僅投資於信用評等為投資等級以上（含）且於減損評估屬信用風險低之債務工具，信用評等資訊係由獨立評等機構提供。合併公司持續追蹤外部評等資訊以監督所投資債務工具之信用風險變化，同時並檢視債券殖利率曲線及債務人重大訊息等其他資訊，以評估債務工具投資自原始認列後信用風險是否顯著增加。
