根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
- 亚德客股份有限公司及其子公司
- 合并现金流量表
- 民国111年及110年1月至9月30日
- （仅经核阅，未依一般公认审计准则查核）
- 单位：新台币仟元

### 表格数据
| 代 碼 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|-------|---------------------|---------------------|
| A00010 | 繼續營業單位稅前淨利 | $ 6,065,137 | $ 6,319,976 |
| A20010 | 收益費損項目 | | |
| A20100 | 折舊費用 | 1,576,832 | 1,257,531 |
| A20200 | 損銷費用 | 12,897 | 12,679 |
| A20300 | 預期信用減損損失 | 17,549 | 33,455 |
| A20400 | 透過損益按公允價值衡量金融資產／負債之淨利益 | (168,431) | (42,313) |
| A20900 | 財務成本 | 103,475 | 149,139 |
| A21200 | 利息收入 | (76,133) | (73,262) |
| A21900 | 員工認股權酬勞成本 | - | 212,377 |
| A22500 | 處分不動產、廠房及設備損失 | 76,190 | 83,110 |
| A23700 | 存貨跌價及呆滯損失 | 12,291 | 29,351 |
| A24100 | 未實現外幣兌換損失（利益） | 5,372 | (13,723) |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31130 | 應收票據 | (405,029) | (201,126) |
| A31150 | 應收帳款 | (435,350) | (1,451,432) |
| A31180 | 其他應收款 | (3,290) | (964) |
| A31200 | 存 貨 | (1,475,351) | (831,932) |
| A31240 | 其他流動資產 | (15,204) | (109,483) |
| A32125 | 合約負債 | (8,181) | (36,011) |
| A32130 | 應付票據 | (31,711) | 116,532 |
| A32150 | 應付帳款 | (275,562) | 74,853 |
| A32180 | 其他應付款 | 27,827 | 101,698 |
| A32230 | 其他流動負債 | 29,884 | (123,440) |
| A33000 | 營運產生之現金流入 | 5,033,212 | 5,507,015 |
| A33100 | 收取之利息 | 63,434 | 53,395 |
| A33300 | 支付之利息 | (107,980) | (152,575) |
| A33500 | 支付之所得稅 | (1,218,904) | (1,620,915) |
| AAAA | 營業活動之淨現金流入 | 3,769,762 | 3,786,920 |

### Markdown表格格式
```markdown
| 代 碼 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|-------|---------------------|---------------------|
| A00010 | 繼續營業單位稅前淨利 | $ 6,065,137 | $ 6,319,976 |
| A20010 | 收益費損項目 | | |
| A20100 | 折舊費用 | 1,576,832 | 1,257,531 |
| A20200 | 損銷費用 | 12,897 | 12,679 |
| A20300 | 預期信用減損損失 | 17,549 | 33,455 |
| A20400 | 透過損益按公允價值衡量金融資產／負債之淨利益 | (168,431) | (42,313) |
| A20900 | 財務成本 | 103,475 | 149,139 |
| A21200 | 利息收入 | (76,133) | (73,262) |
| A21900 | 員工認股權酬勞成本 | - | 212,377 |
| A22500 | 處分不動產、廠房及設備損失 | 76,190 | 83,110 |
| A23700 | 存貨跌價及呆滯損失 | 12,291 | 29,351 |
| A24100 | 未實現外幣兌換損失（利益） | 5,372 | (13,723) |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31130 | 應收票據 | (405,029) | (201,126) |
| A31150 | 應收帳款 | (435,350) | (1,451,432) |
| A31180 | 其他應收款 | (3,290) | (964) |
| A31200 | 存 貨 | (1,475,351) | (831,932) |
| A31240 | 其他流動資產 | (15,204) | (109,483) |
| A32125 | 合約負債 | (8,181) | (36,011) |
| A32130 | 應付票據 | (31,711) | 116,532 |
| A32150 | 應付帳款 | (275,562) | 74,853 |
| A32180 | 其他應付款 | 27,827 | 101,698 |
| A32230 | 其他流動負債 | 29,884 | (123,440) |
| A33000 | 營運產生之現金流入 | 5,033,212 | 5,507,015 |
| A33100 | 收取之利息 | 63,434 | 53,395 |
| A33300 | 支付之利息 | (107,980) | (152,575) |
| A33500 | 支付之所得稅 | (1,218,904) | (1,620,
