### (九)不動産、廠房及設備

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 6,351,358 |
| 機器設備 | $ 579,400 |
| 裝卸設備 | $ 12,167,361 |
| 訊設備 | $ 1,501,627 |
| 運輸設備 | $ 45,098,718 |
| 船舶設備 | $ 159,099,975 |
| 辦公設備 | $ 658,483 |
| 租賃改良 | $ 2,466,078 |
| 其他 | $ 80,211 |
| 合計 | $ 228,866,341 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 148,314 |
| 租賃改良 | $ 1,497,870 |
| 其他 | $ 60,226 |
| 合計 | $ 153,902,875 |

| 项目 | 111年 |
|------|------|
| 土地 | $ 863,130 |
| 房屋及建築 | $ 5,000,791 |
| 機器設備 | $ 97,771 |
| 裝卸設備 | $ 3,402,100 |
| 訊設備 | $ 265,806 |
| 運輸設備 | $ 30,441,369 |
| 船舶設備 | $ 112,125,498 |
| 辦公設備 | $ 1
