### 111年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 金融負債 | $5,694,432 | $5,250,872 | $5,250,872 | $5,694,432 |
| 按攤銷後成本衡量之金融負債 | $5,694,432 | $5,250,872 | $5,250,872 | $5,694,432 |

### 111年3月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 金融負債 | $5,855,517 | $5,542,058 | $5,542,058 | $5,855,517 |
| 按攤銷後成本衡量之金融負債 | $5,855,517 | $5,542,058 | $5,542,058 | $5,855,517 |

### (二) 公允價值資訊－以重複性基礎按公允價值衡量之金融工具

#### 1. 公允價值層級

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 112年3月31日 | $93,305 | $1,304,189 | $2,010,121 | $3,407,615 |
| 透過損益按公允價值衡量之金融資產 | $93,305 | $1,304,189 | $2,010,121 | $3,407,615 |
| 衍生工具 | $93,305 | $496,563 | 6,173 | $502,736 |
| 國外上市（櫃）股票 | - | - | - | - |
| 國內未上市（櫃）股票 | - | - | - | - |
| 國外未上市（櫃）股票 | - | - | - | - |
| 國外私募基金 | - | - | 362,974 | 362,974 |
| 結構型商品 | - | 807,626 | - | 807,626 |
| 結構式存款 | - | - | 1,594,233 | 1,594,233 |
| 透過其他綜合損益按公允價值衡量之金融資產 | $855,298 | $- | $- | $855,298 |
| 權益工具投資 | $855,298 | $- | $- | $855,298 |
| 透過損益按公允價值衡量之金融負債 | $128,741 | $- | $- | $128,741 |
| 衍生工具 | $128,741 | $- | $- | $128,741 |
| 避險之金融資產 | $768,924 | $- | $- | $768,924 |
| 國外營運機構淨投資避險 | $768,924 | $- | $- | $768,924 |
| 現金流量避險 | $352,681 | $- | $- | $352,681 |
| 透過損益按公允價值衡量之金融負債 | $892,681 | $- | $- | $892,681 |
| 現金流量避險 | $892,681 | $- | $- | $892,681 |

- 62 -
