### 财务报告摘要

#### 112年3月31日
| 项目 | 合约金额（仟元） | 到期期间 |
|------|------------------|-----------|
| 远期外汇合约 | USD 109,536 | 112年4月至113年5月 |
| 换汇换利合约 | USD 370,867 | 113年9月 |

#### 111年12月31日
| 项目 | 合约金额（仟元） | 到期期间 |
|------|------------------|-----------|
| 远期外汇合约 | USD 102,041 | 112年1月至113年2月 |
| 换汇换利合约 | USD 395,592 | 113年9月 |

#### 111年3月31日
| 项目 | 合约金额（仟元） | 到期期间 |
|------|------------------|-----------|
| 远期外汇合约 | USD 92,318 | 111年4月至112年5月 |
| 换汇换利合约 | USD 420,317 | 113年9月 |

### 附注
- 截至112年3月31日及111年12月31日及3月31日止，适用避险会计且尚未到期之换汇换利合约之支付利率皆为4.94%，收取利率皆为6.25%。
