根据提供的PDF财务报告图像，以下是提取的文本和表格信息：

### 文本内容
- 110年9月10日于新加坡证券交易所公开发行，发行期间5年，到期日112年12月10日，发行总金额为400,000千美元，票面利率0%。
- 债券持有人得于本债券发行届满三个月之翌日起至到期日前10日为止，随时依转换办法规定向本公司请求将所持有之债券转换为本公司之普通股股票，发行时之转换价格为每股新台币41元，可转换公司债发行后转换价格将依据本公司107年度第一次海外无担保可转换公司债发行及转换办法相关反稀释条款调整转换价格，自110年8月18日（除权息基准日）起，转换价格调整至每股新台币29.87元。依美金児新台幣固定匯率30.878除以转换日每股转换价格向公司请求转换。截至110年12月31日止已全数转换股数为386,734仟股。
- 可转换公司债包括负债及权益组成部分，权益组成部分于权益项下以资本公积一认股权表达。负债组成部分原始认列之有效利率为3.27%。
- 110年度第一次海外无担保可转换公司债
  - 本公司于110年9月经董事会通过发行110年度第一次海外无担保转换公司债，本案业经金融监督管理委员会110年11月26日金管证发字第1100373764号申报生效，并于110年12月7日于新加坡证券交易所公开发行，发行期间5年，到期日115年12月7日，发行总金额为800,000千美元，票面利率0%。
  - 债券持有人得于本债券发行届满三个月之翌日起至到期日前10日为止，随时依转换办法规定向本公司请求将所持有之债券转换为本公司之普通股股票，发行时之转换价格为每股新台币59.8元，可转换公司债发行后转换价格将依据本公司110年度第一次海外无担保可转换公司债发行及转换办法相关反稀释条款调整转换价格。依美金児新台幣固定匯率27.75除以转换日每股转换价格向公司请求转换。截至111年3月31日止尚未转换。

### 表格数据
| 项目 | 112年12月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债券发行 | 400,000千美元 | 800,000千美元 |  |
| 转换价格 | 41元 | 29.87元 |  |
| 转换股数 | 386,734仟股 |  |  |
| 转换价格调整 |  |  |  |
| 转换价格调整后 |  |  |  |
| 转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整 |  |  |  |
| 转换价格调整后转换价格调整后 |  |  |  |
| 转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
| 转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格调整后转换价格 |  |  |  |
