### 财务报告

#### 1. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 14,098) | $ 81,021 |
| 当期产生 | | |
| 未实现损益 | | |
| 权益工具 | 43,951 | ($ 8,713) |
| 采用权益法确认的关联企业之份额 | | ($ 1,348) |
| 重分类调整 | | | |
| 共同控制下前手权益及非控制权益转至本公司 | | 1,993 |
| 转分权益工具累计损益移转至保留盈余 | 107 | - |
| 期末余额 | $ 28,612 | $ 66,717 |

#### 2. 避险工具损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 631,535 | $ 198,811 |
| 当期产生 | | |
| 避险工具公允价值变动损益 | 49,111 | $ 306,511 |
| 期末余额 | $ 680,646 | $ 505,322 |

#### 3. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 12,204,084) | ($ 9,753,973) |
| 本期其他综合收益 | 5,362,067 | 4,282,355 |
| 重分类调整 | ($ 952,675) | - |
| 期末余额 | ($ 7,794,692) | ($ 6,424,293) |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 535,352) | ($ 421,272) |
| 本期其他综合收益 | ($ 664,770) | ($ 538,824) |
| 期末余额 | ($ 1,200,122) | ($ 960,096) |

#### 4. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 14,098) | $ 81,021 |
| 当期产生 | | |
| 未实现损益 | | |
| 权益工具 | 43,951 | ($ 8,713) |
| 采用权益法确认的关联企业之份额 | | ($ 1,348) |
| 重分类调整 | | | |
| 共同控制下前手权益及非控制权益转至本公司 | | 1,993 |
| 转分权益工具累计损益移转至保留盈余 | 107 | - |
| 期末余额 | $ 28,612 | $ 66,717 |

#### 5. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 12,204,084) | ($ 9,753,973) |
| 本期其他综合收益 | 5,362,067 | 4,282,355 |
| 重分类调整 | ($ 952,675) | - |
| 期末余额 | ($ 7,794,692) | ($ 6,424,293) |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 535,352) | ($ 421,272) |
| 本期其他综合收益 | ($ 664,770) | ($ 538,824) |
| 期末余额 | ($ 1,200,122) | ($ 960,096) |

#### 6. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 14,098) | $ 81,021 |
| 当期产生 | | |
| 未实现损益 | | |
| 权益工具 | 43,951 | ($ 8,713) |
| 采用权益法确认的关联企业之份额 | | ($ 1,348) |
| 重分类调整 | | | |
| 共同控制下前手权益及非控制权益转至本公司 | | 1,993 |
| 转分权益工具累计损益移转至保留盈余 | 107 | - |
| 期末余额 | $ 28,612 | $ 66,717 |

#### 7. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 12,204,084) | ($ 9,753,973) |
| 本期其他综合收益 | 5,362,067 | 4,282,355 |
| 重分类调整 | ($ 952,675) | - |
| 期末余额 | ($ 7,794,692) | ($ 6,424,293) |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 535,352) | ($ 421,272) |
| 本期其他综合收益 | ($ 664,770) | ($ 538,824) |
| 期末余额 | ($ 1,200,122) | ($ 960,096) |

#### 8. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | ($ 14,098) | $ 81,021 |
| 当期产生 | | |
| 未实现损益 | | |
| 权益工具 | 43,951 | ($ 8,713) |
| 采用权益法确认的关联企业之份额 | | ($ 1,348) |
| 重分类调整 | | | |
| 共同控制下前手权益及非控制权益转至本公司 | | 1,993 |
| 转分权益工具累计损益移转至保留盈余 | 107 | - |
| 期末余额 | $ 28,612 | $ 66,717 |

#### 9. 通过其他综合收益按公允价值计量的金融资产未实现损益

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3
