# 财务报告分析

## 111年第一季度

### 111年1月1日余额
| 项目 | 111年1月1日余额 |
|------|-----------------|
| 普通股股本 | $ 58,611,863 |
| 资本公积 | $ 9,192,999 |
| 法定盈余公积 | $ 66,313,982 |
| 特别盈余公积 | $ 70,032,921 |
| 未分配盈余 | $ 72,145,718 |
| 未分配特别盈余 | $ 121,228,401 |
| 未分配法定盈余 | $ 9,270 |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
| 未分配其他盈余 | $ - |
