### (十)不動產、廠房及設備

| 项目 | 112年 |
|------|------|
| 土地 | $ 11,885,041 |
| 房屋及建築 | $ 241,452,158 |
| 機器設備 | $ 328,460,664 |
| 電腦通訊設備 | $ 49,289,278 |
| 其他 | $ 204,071,287 |
| 未完工程及待驗設備 | $ 51,523,087 |
| 合計 | $ 886,681,515 |

| 项目 | 112年3月31日 |
|------|------|
| 土地 | $ 11,885,041 |
| 房屋及建築 | $ 121,201,233 |
| 機器設備 | $ 104,883,195 |
| 電腦通訊設備 | $ 9,990,065 |
| 其他 | $ 62,922,063 |
| 未完工程及待驗設備 | $ 51,523,087 |
| 合計 | $ 362,404,684 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 122,507,749 |
| 機器設備 | $ 113,303,150 |
| 電腦通訊設備 | $ 10,002,915 |
| 其他 | $ 64,079,029 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 383,186,122 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊設備 | $ 50,521,318 |
| 其他 | $ 212,347,224 |
| 未完工程及待驗設備 | $ 59,857,176 |
| 合計 | $ 935,512,397 |

| 项目 | 112年9月30日 |
|------|------|
| 土地 | $ 13,436,103 |
| 房屋及建築 | $ 252,177,244 |
| 機器設備 | $ 347,173,332 |
| 電腦通訊
