### 财务报告表格

| 投资公司名称 | 子公司名称 | 持股百分比 | 说明 |
|--------------|------------|------------|------|
| Cayman President Holdings Ltd. | 张家港统清食品有限公司 | 70.00 | 油脂、油粕、饲料、面粉制造及销售 |
| Cayman President Holdings Ltd. | 统万珍极食品有限公司 | 50.00 | 食品、酱油与调味料之制造及贩卖 |
| 凯友投资(股)公司 | Kai Yu (BVI) Investment Co., Ltd.及子公司 | 100.00 | 生产事业之投资等 |
| 凯友投资(股)公司 | 统昂企业(股)公司 | 100.00 | 饮料销售等 |
| 凯友投资(股)公司 | 统冠生活事业(股)公司 | 100.00 | 宠物饲料批发零售业 |
| 凯南投资(股)公司 | 凯亚食品(股)公司 | 100.00 | 食品制造 |
| President Global Corp. | Ameripec Inc. | 100.00 | 食品制造 |
| 统一梦公园生活事业(股)公司 | 统一友友旅行社(股)公司 | 100.00 | 旅行业 |
| 统正开发(股)公司 | 统一时代(股)公司 | 100.00 | 特定专业区开发 |
| 南联国际贸易(股)公司 | Cayman Nanlien Holding Ltd.及子公司 | 100.00 | 投资控股等 |
| 南联国际贸易(股)公司 | 统祥(股)公司等 | - | 购卖业等 |
| 统一国际开发(股)公司 | President (BVI) International Investment Holdings Ltd.及子公司 | 100.00 | 生产事业之投资等 |
| 统一国际开发(股)公司 | 统宇投资(股)公司 | 100.00 | 专业投资 |
| 统一国际开发(股)公司 | 统一生命科技(股)公司 | 100.00 | 精密化学材料及精密仪器制造等 |
| 统一国际开发(股)公司 | 统一置业(股)公司 | 100.00 | 不动产买卖、租赁 |
| 德记洋行(股)公司 | 德通(股)公司 | 100.00 | 各项饮料生产 |

### 财务报告文本

- **总计**：所有表格数据的汇总，用于提供财务报告的全面视图。
