### 财务报告

#### 投资活动之现金流量

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| B00010 取得透过其他综合损益按公允价值衡量之金融资产 | - | (286,227) |
| B00030 透过其他综合损益按公允价值衡量之金融资产减资退回报股款 | 229,967 | - |
| B00040 按摊销后成本衡量之金融资产增加 | (19,967,152) | - |
| B00050 按摊销后成本衡量之金融资产减少 | - | 2,030,804 |
| B01800 取得采用权益法之长期股权投资 | (66,729) | (26,013) |
| B02200 对子公司之收购 | (272,018) | - |
| B02700 取得不动产、厂房及设备 | (17,635,675) | (17,707,112) |
| B02800 处分不动产、厂房及设备价款 | 46,631 | 76,940 |
| B04500 取得无形资产 | (868,556) | (666,867) |
| B05400 取得投资性不動产 | - | (1,035) |
| B05500 处分投资性不動产价款 | 348,240 | 10,922 |
| B06000 应收融资租賃款减少 | 2,322,411 | 2,232,603 |
| B06700 其他非流动资产减少（增加） | 125,781 | (212,233) |
| B07500 收取之利息 | 2,212,612 | 985,307 |
| B07600 收取之股利 | 1,993,537 | 2,486,150 |
| BBBB 投资活动之净现金流出 | (31,530,951) | (11,076,761) |

#### 筹资活动之现金流量

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| C00200 短期借款减少 | (2,082,366) | (6,015,657) |
| C00600 应付短期票券增加（减少） | 574,165 | (2,660,990) |
| C01200 发行公司债 | 9,300,000 | 7,750,000 |
| C01600 贷借长期借款 | 40,198,975 | 36,132,200 |
| C01700 偿还长期借款 | (48,468,215) | (20,990,918) |
| C01800 长期应付票券增加 | 34,500,000 | 26,400,000 |
| C01900 长期应付票券减少 | (34,500,000) | (24,000,000) |
| C04020 租赁本金偿还 | (421,129) | (368,255) |
| C04300 其他非流动负债增加 | 424,699 | 115,816 |
| C04500 发放现金股利 | (4,061,436) | (7,630,349) |

### 结论

以上财务报告展示了投资活动和筹资活动的现金流量情况。投资活动主要涉及金融资产的取得和处置，以及长期股权投资的取得和处置。筹资活动则包括短期借款的减少、应付短期票券的增加、发行公司债、借款和偿还长期借款、应付票券的增加和减少、租赁本金的偿还、其他非流动负债的增加以及现金股利的发放。
