### 111年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 18,469,923 | $ 16,186,060 | $ 19,535,135 | $ 22,154,811 |
| 特许权 | $ 14,581,255 | $ 8,936,939 | $ 6,768,165 | $ 11,911,625 |
| 专利权 | $ 4,301,379 | $ 1,153,742 | $ 1,157,525 | $ 4,998,326 |
| 商标权 | $ 9,009,831 | $ 8,074,424 | $ 8,528,900 | $ 9,810,330 |
| 已发展技术 | $ 10,192,291 | $ 7,644,030 | $ 7,455,005 | $ 11,423,389 |
| 客户关系 | $ 1,610,976 | $ 1,111,108 | $ 888,582 | $ 1,566,386 |
| 電脑軟體成本 | $ 8,174,975 | $ 2,246,534 | $ 2,595,819 | $ 9,057,460 |
| 合计 | $ 66,340,630 | $ 45,352,837 | $ 46,929,131 | $ 70,922,327 |

### 111年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 18,469,923 | $ 16,186,060 | $ 19,535,135 | $ 22,154,811 |
| 特许权 | $ 14,581,255 | $ 8,936,939 | $ 6,768,165 | $ 11,911,625 |
| 专利权 | $ 4,301,379 | $ 1,153,742 | $ 1,157,525 | $ 4,998,326 |
| 商标权 | $ 9,009,831 | $ 8,074,424 | $ 8,528,900 | $ 9,810,330 |
| 已发展技术 | $ 10,192,291 | $ 7,644,030 | $ 7,455,005 | $ 11,423,389 |
| 客户关系 | $ 1,610,976 | $ 1,111,108 | $ 888,582 | $ 1,566,386 |
| 電脑軟體成本 | $ 8,174,975 | $ 2,246,534 | $ 2,595,819 | $ 9,057,460 |
| 合计 | $ 66,340,630 | $ 45,352,837 | $ 46,929,131 | $ 70,922,327 |

### 111年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 18,469,923 | $ 16,186,060 | $ 19,535,135 | $ 22,154,811 |
| 特许权 | $ 14,581,255 | $ 8,936,939 | $ 6,768,165 | $ 11,911,625 |
| 专利权 | $ 4,301,379 | $ 1,153,742 | $ 1,157,525 | $ 4,998,326 |
| 商标权 | $ 9,009,831 | $ 8,074,424 | $ 8,528,900 | $ 9,810,330 |
| 已发展技术 | $ 10,192,291 | $ 7,644,030 | $ 7,455,005 | $ 11,423,389 |
| 客户关系 | $ 1,610,976 | $ 1,111,108 | $ 888,582 | $ 1,566,386 |
| 電脑軟體成本 | $ 8,174,975 | $ 2,246,534 | $ 2,595,819 | $ 9,057,460 |
| 合计 | $ 66,340,630 | $ 45,352,837 | $ 46,929,131 | $ 70,922,327 |
