### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司名称 | 子公司名称 | 业务性质 | 股权百分比 | 说明 |
|--------------|------------|----------|------------|------|
| Chunghwa Telecom (Thailand) Co., Ltd. | 中华资安国际股份有限公司 | 国际数据专线、IP 虚拟企业网络、ICT、云端加值服务等 | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |  |
| | | | 100 |
