### 财务报告 - 长期借款

#### 长期借款

| 贷款机构 | 借款期间 | 利率区间 | 抵押品 | 112年9月30日 |
|----------|----------|----------|--------|--------------|
| 日商瑞穗实业银行等18家银行联贷 | 108.03.19~113.03.19 | 6.1885%~6.2385% | 无 | $ 18,555,250 |
| 日商瑞穗实业银行等3家银行联贷 | 109.11.21~114.11.28 | 4.3230% | " | 339,100 |
| 第一商业银行 | 100.11.30~119.11.30 | 2.0719% | 有 | 1,662,857 |
| 第一商业银行 | 102.09.06~122.09.06 | 2.2833% | " | 882,581 |
| 上海商业储蓄银行 | 110.06.25~114.06.24 | 2.2450% | 无 | 257,500 |
| 中国农业银行 | 107.01.05~116.05.22 | 4.9000% | " | 1,669,581 |
| 中国信託商业银行等12家银行联贷 | 109.10.29~113.12.26 | 2.2133% | " | 596,070 |
| 玉山商业银行 | 110.12.20~113.09.20 | 6.6200% | " | 258,160 |
| 中国工商银行新加坡分行 | 110.02.04~112.11.24 | 6.7500% | " | 19,362,000 |
| 台新国际商业银行等12家银行联贷 | 110.12.27~115.12.27 | 2.9533%~3.0590% | " | 2,758,500 |
| 台新国际商业银行等12家银行联贷 | 110.12.27~115.12.27 | 3.0590% | 有 | 1,350,000 |
| 台新国际商业银行等12家银行联贷 | 112.03.27~115.12.27 | 3.0590% | 无 | 1,291,500 |
| 三菱日联银行 | 110.12.20~113.12.20 | 6.5900% | " | 903,560 |
| 中国银行 | 111.01.24~121.01.24 | 3.6000% | " | 1,992,119 |
| 中国银行 | 111.05.25~114.03.17 | 6.5500% | " | 16,135,000 |
| 中国工商银行新加坡分行 | 112.04.12~114.11.07 | 6.3947% | " | 16,135,000 |
| OLDENBURGISCHE LANDESBANK | 109.11.02~113.12.31 | 7.5000% | " | 37,089 |
| BANCO SANTANDER, S.A. | 110.09.20~113.09.19 | 1.2600% | " | 1,677 |
| FULLYFUN INVESTMENT LIMITED | 112.06.24~113.12.24 | 0.0000% | " | 6,401 |
| BANC OF AMERICA LEASING & CAPITAL, LLC | 111.12.27~119.12.27 | 5.3720% | " | 4,466,716 |

#### 总计
88,660,661

#### 减：一年内到期之长期借款
（表列「一年或一营业周期内到期长期负债」）
(40,185,740)

#### 减：联贷主办费
(30,259)

#### $ 48,444,662
