### (承前頁)

| 日期 | 帳面金額 | 合約現金流量 | 1年以內 | 1年以上 |
|------|----------|--------------|----------|----------|
| 111年12月31日 | $ 12,492,638 | $ 12,590,608 | $ 12,590,608 | $ - |
| 短期借款 | $ 12,492,638 | $ 12,590,608 | $ 12,590,608 | $ - |
| 短期票券 | 28,075,967 | 28,150,000 | 28,150,000 | $ - |
| 長期借款 | 34,328,819 | 34,834,820 | 3,560,429 | 31,274,391 |
| 應付公司債 | 20,180,733 | 20,521,633 | 5,326,673 | 15,194,960 |
| $ 95,078,157 | $ 96,097,061 | $ 49,627,710 | $ 46,469,351 | $ - |

| 日期 | 帳面金額 | 合約現金流量 | 1年以內 | 1年以上 |
|------|----------|--------------|----------|----------|
| 111年3月31日 | $ 18,320,812 | $ 18,401,804 | $ 18,401,804 | $ - |
| 短期借款 | $ 18,320,812 | $ 18,401,804 | $ 18,401,804 | $ - |
| 短期票券 | 20,075,116 | 20,100,000 | 20,100,000 | $ - |
| 長期借款 | 30,275,748 | 30,714,393 | 936,395 | 29,777,998 |
| 應付公司債 | 20,338,807 | 21,027,507 | - | 21,027,507 |
| $ 89,010,483 | $ 90,243,704 | $ 39,438,199 | $ 50,805,505 | $ - |

### (2) 衍生金融負債之流動性及利率風險表

針對衍生金融工具之流動性分析，就採淨額交割之衍生工具而言，係以未折現之合約淨現金流入及流出為基礎編製；就採總額交割之衍生工具而言，係以未折現之總現金流入及流出為基礎編製。當應付或應收金額不固定時，揭露之金額係依資產負債表日殖利率曲線所推估之預計利率決定。

| 日期 | 要求即付或短於3個月 | 3～6個月 | 6～12個月 | 1～5年 |
|------|------------------|----------|----------|----------|
| 總額交割 | | | | |
| 遠期外匯合約 | | | | |
| 一流入 | $ 14,157,763 | $ 2,912,386 | $ 1,712,278 | $ 439,211 |
| 一流出 | (13,824,503) | (2,687,378) | (1,529,331) | (398,034) |
| 總計 | $ 333,260 | $ 225,008 | $ 182,947 | $ 41,177 |
| 換匯交易合約 | | | | |
| 一流入 | $ 913,620 | $ 298,041 | $ 609,080 | $ - |
| 一流出 | (868,860) | (272,646) | (547,700) | - |
| 總計 | $ 44,760 | $ 25,395 | $ 61,380 | $ - |
| 換匯換利合約 | | | | |
| 一流入 | $ - | $ 1,218,160 | $ 1,218,160 | $ - |
| 一流出 | - | (1,210,000) | (1,216,000) | - |
| 總計 | $ - | $ 8,160 | $ 2,160 | $ - |
| 淨額交割 | | | | |
| 換匯換利合約 | | | | |
| 一流入 | $ - | $ - | $ - | $ - |
| 一流出 | - | - | - | (10,449,563) |
| 總計 | $ - | $ - | $ - | ($ 183,242) |
