### 财务报告分析

#### 112年1月1日至9月30日

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 豐田及日野 | | |
| 产品代理 | $117,984,345 | $90,723,398 |
| 分期事业 | $14,204,023 | $11,066,758 |
| 租赁事业 | $23,287,545 | $20,024,766 |
| 产物保险事业 | $8,741,939 | $7,786,229 |
| 来自企业外客户之收入 | | |
| 产品代理 | $14,050,188 | $16,858,030 |
| 分期事业 | $31,757,069 | $32,742,675 |
| 租赁事业 | $ | $ |
| 产物保险事业 | $ | $ |
| 来自企业内他部门之收入(注) | | |
| 产品代理 | $13,136,325 | $11,947,172 |
| 分期事业 | $466,688 | $506,782 |
| 租赁事业 | $945,254 | $926,406 |
| 产物保险事业 | $554,672 | $203,272 |
| 收入合计 | $131,120,670 | $78,776,226 |
| 部门损益(注) | $18,092,935 | $8,325,432 |
| 部门资产 | $90,596,087 | $71,019,726 |
| 海外车辆 | | |
| 经销事业 | $ | $ |
| 其他部门 | $ | $ |
| 调节及销除 | $ | $ |
| 合计 | $ | $ |
| 来自企业外客户之收入 | | |
| 产品代理 | $ | $ |
| 分期事业 | $ | $ |
| 租赁事业 | $ | $ |
| 产物保险事业 | $ | $ |
| 来自企业内他部门之收入(注) | | |
| 产品代理 | $ | $ |
| 分期事业 | $ | $ |
| 租赁事业 | $ | $ |
| 产物保险事业 | $ | $ |
| 收入合计 | $ | $ |
| 部门损益(注) | $ | $ |
| 部门资产 | $ | $ |
| 海外车辆 | | |
| 经销事业 | $ | $ |
| 其他部门 | $ | $ |
| 调节及销除 | $ | $ |
| 合计 | $ | $ |

#### 111年1月1日至9月30日

| 项目 | 111年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 豐田及日野 | | |
| 产品代理 | $117,984,345 | $90,723,398 |
| 分期事业 | $14,204,023 | $11,066,758 |
| 租赁事业 | $23,287,545 | $20,024,766 |
| 产物保险事业 | $8,741,939 | $7,786,229 |
| 来自企业外客户之收入 | | |
| 产品代理 | $14,050,188 | $16,858,030 |
| 分期事业 | $31,757,069 | $32,742,675 |
| 租赁事业 | $ | $ |
| 产物保险事业 | $ | $ |
| 来自企业内他部门之收入(注) | | |
| 产品代理 | $13,136,325 | $11,947,172 |
| 分期事业 | $466,688 | $506,782 |
| 租赁事业 | $945,254 | $926,406 |
| 产物保险事业 | $554,672 | $203,272 |
| 收入合计 | $131,120,670 | $78,776,226 |
| 部门损益(注) | $18,092,935 | $8,325,432 |
| 部门资产 | $90,596,087 | $71,019,726 |
| 海外车辆 | | |
| 经销事业 | $ | $ |
| 其他部门 | $ | $ |
| 调节及销除 | $ | $ |
| 合计 | $ | $ |
| 来自企业外客户之收入 | | |
| 产品代理 | $ | $ |
| 分期事业 | $ | $ |
| 租赁事业 | $ | $ |
| 产物保险事业 | $ | $ |
| 来自企业内他部门之收入(注) | | |
| 产品代理 | $ | $ |
| 分期事业 | $ | $ |
| 租赁事业 | $ | $ |
| 产物保险事业 | $ | $ |
| 收入合计 | $ | $ |
| 部门损益(注) | $ | $ |
| 部门资产 | $ | $ |
| 海外车辆 | | |
| 经销事业 | $ | $ |
| 其他部门 | $ | $ |
| 调节及销除 | $ | $ |
| 合计 | $ | $ |

### 结论
通过对112年和111年的财务报告进行分析，可以看出丰田及日野公司在产品代理、分期事业、租赁事业和产物保险事业方面的收入和损益情况。从数据中可以看出，丰田及日野公司在112年和111年的收入和损益都有所增长，特别是在产品代理和分期事业方面。此外，丰田及日野公司在112年的资产也有所增加，显示出公司的财务状况在不断改善。
