### 五、重大会计判断、估计及假设不确定性之主要来源

合併公司於採用會計政策時，對於不易自其他來源取得相關資訊者，管理階層必須基於歷史經驗及其他攸關之因素作出相關之判斷、估計及假設。實際結果可能與估計有所不同。

合併公司於發展重大會計估計值時，將新型冠狀病毒肺炎疫情近期之發展及能源市場波動可能之影響，納入對現金流量推估、成長率、折現率、獲利能力等相關重大會計估計之考量，管理階層將持續檢視估計與基本假設。

本合併財務報告之重大會計判斷、估計及假設不確定性主要來源，請參閱 111 年度合併財務報告。

### 六、现金及约当现金

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 庫存现金及週轉金 | $ 9,992 | $ 29,162 | $ 9,246 |
| 銀行支票及活期存款 | 26,973,745 | 27,747,698 | 32,506,617 |
| 約當現金 |  |  |  |
| 原始到期日在 3 個月 |  |  |  |
| 以內之銀行定期存款 | 40,924,179 | 57,861,359 | 63,327,530 |
| 附買回債券 | 3,049,293 | 3,204,275 | 2,197,023 |
|  | $ 70,957,209 | $ 88,842,494 | $ 98,040,416 |

### 银行存款及附买回债券於资产负债表日之市场利率区间如下：

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 銀行存款 | 0.01%～5.33% | 0.01%～6.05% | 0.01%～3.00% |
| 附買回債券 | 0.96%～4.70% | 0.84%～4.30% | 0.26%～0.50% |

### 按摊销後成本衡量之金融资产，主要係原始到期日超過 3 個月之银行定期存款及受限制之活期存款：

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 流动 | $ 30,795,636 | $ 20,954,299 | $ 20,341,977 |
| 非流动 | 11,492,164 | 9,577,103 | 5,874,111 |
| 总计 | $ 42,287,800 | $ 30,531,402 | $ 26,216,088 |

### 文本输出

合併公司於採用會計政策時，對於不易自其他來源取得相關資訊者，管理階層必須基於歷史經驗及其他攸關之因素作出相關之判斷、估計及假設。實際結果可能與估計有所不同。

合併公司於發展重大會計估計值時，將新型冠狀病毒肺炎疫情近期之發展及能源市場波動可能之影響，納入對現金流量推估、成長率、折現率、獲利能力等相關重大會計估計之考量，管理階層將持續檢視估計與基本假設。

本合併財務報告之重大會計判斷、估計及假設不確定性主要來源，請參閱 111 年度合併財務報告。

### 表格数据输出

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 庫存现金及週轉金 | $ 9,992 | $ 29,162 | $ 9,246 |
| 銀行支票及活期存款 | 26,973,745 | 27,747,698 | 32,506,617 |
| 約當現金 |  |  |  |
| 原始到期日在 3 個月 |  |  |  |
| 以內之銀行定期存款 | 40,924,179 | 57,861,359 | 63,327,530 |
| 附買回債券 | 3,049,293 | 3,204,275 | 2,197,023 |
|  | $ 70,957,209 | $ 88,842,494 | $ 98,040,416 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 銀行存款 | 0.01%～5.33% | 0.01%～6.05% | 0.01%～3.00% |
| 附買回債券 | 0.96%～4.70% | 0.84%～4.30% | 0.26%～0.50% |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 流动 | $ 30,795,636 | $ 20,954,299 | $ 20,341,977 |
| 非流动 | 11,492,164 | 9,577,103 | 5,874,111 |
| 总计 | $ 42,287,800 | $ 30,531,402 | $ 26,216,088 |
