### 财务报告

#### 合并综合损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目         | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|--------------|----------------------|----------------------|----------------------|----------------------|
| 4000 营业收入 | $ 1,746,604,787       | $ 1,405,768,278       | $ 4,663,968,546       | $ 4,104,347,741       |
| 5000 营业成本 | (1,638,977,070)       | (1,317,182,076)       | (4,374,947,427)       | (3,856,087,059)       |
| 5900 营业毛利 | 107,627,717           | 88,586,202            | 289,021,119           | 248,260,682           |
| 营业费用     |                        |                        |                        |                        |
| 6100 推销费用 | (7,865,102)           | -                     | (21,698,252)          | (21,806,042)          |
| 6200 管理费用   | (21,240,053)          | (19,102,350)          | (57,614,297)          | (54,983,352)          |
| 6300 研究发展费用 | (29,973,118)          | (25,883,158)          | (80,153,294)          | (75,231,399)          |
| 6000 营业费用合计 | (59,078,273)          | (52,392,866)          | (159,465,843)         | (152,020,793)         |
| 6900 营业利益 | 48,549,444            | 36,193,336            | 129,555,276           | 96,239,889            |
| 营业外收入及支出 |                        |                        |                        |                        |
| 7100 利息收入 | 11,601,392            | 7,954,197             | 28,876,672            | 25,208,508            |
| 7010 其他收入   | 2,985,046             | -                     | 6,872,990             | 12,322,121            |
| 7020 其他利益及损失 | (3,617,014)           | -                     | (15,808,237)          | -                     |
| 7050 财务成本   | (10,093,009)          | (5,062,324)           | (22,021,953)          | (17,422,542)          |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 1,770,453              | -                     | 4,071,579             | -                     |
| 7000 营业外收入及支出合计 | 2,646,868              | -                     | 11,752,797            | -                     |
| 7900 税前净利 | 51,196,312            | 47,946,133            | 135,060,880           | 131,363,751           |
| 7950 所得税费用 | (9,503,472)           | (8,540,688)           | (29,094,898)          | (28,759,369)          |
| 8200 本期净利 | $ 41,692,840          | $ 39,405,445          | $ 105,965,982         | $ 102,604,382         |

#### 续次页
