### 财务报告分析

#### 1. 流动性及非控制权益折减
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 增加1% | ($ 26,446) | ($ 25,297) | ($ 24,146) |
| 减少1% | $ 26,446 | $ 25,297 | $ 24,146 |

#### 2. 市场法系透过比较标的公司本身或公开市场中与其经营相似业务之公司或并购交易决定，此方法亦考虑过去公司股票之交易价格。重大不可观察输入值如下：
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动性折减 | 20% | 20% | 20% |

#### 3. 若为反映合理可能之替代假设而变动下列输入值，当其他输入值维持不变的情况下，将使权益投资公允价值增加（减少）之金额如下：
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动性折减 | ($ 3,798) | ($ 3,798) | ($ 3,348) |
| 减少1% | $ 3,798 | $ 3,798 | $ 3,348 |

#### 4. 股利折现法系考量标的公司过去年度股利配发金额稳定。
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 折现率 | 6.1% | 5.4% | 5.9% |
| 股利成长率 | 1.4% | 1.4% | 1.3% |
| 流动性折减 | 10.0% | 10.0% | 10.0% |

#### 5. 若为反映合理可能之替代假设而变动下列输入值，当其他输入值维持不变的情况下，将使权益投资公允价值增加（减少）之金额如下：
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动性折减 | ($ 67,122) | ($ 70,428) | ($ 53,622) |
| 减少1% | $ 67,122 | $ 70,428 | $ 53,622 |

### 结论
通过分析上述财务报告，我们可以看到在不同时间点，流动性和非控制权益的折减、市场法系的流动性折减、股利折现法系的折现率和股利成长率以及流动性的折减对权益投资公允价值的影响。这些数据反映了公司在不同时间点的财务状况和市场表现。
