統一企業股份有限公司及子公司

民國112年3月31日及民國111年12月31日、3月31日
（民國112年及111年3月31日之各子公司負債及權益經核閱，未依審計準則查核）

單位：新台幣仟元

| 負債及權益 | 附註 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
| --- | --- | --- | --- | --- |
| 流動負債 |  |  |  |  |
| 2100 | 短期借款 | 六(十五)及八 | $34,329,390 | 6 | $33,263,107 | 6 | $31,687,572 | 6 |
| 2110 | 應付短期票券 | 六(十六)及八 | 17,272,081 | 3 | 7,371,738 | 1 | 9,949,245 | 2 |
| 2120 | 透過損益按公允價值衡量之金融負債－流動 | 六(二) | 408 | - | 592 | - | 3,180 | - |
| 2130 | 合約負債－流動 | 六(二十五) | 11,035,755 | 2 | 15,039,314 | 3 | 10,970,868 | 2 |
| 2150 | 應付票據 |  | 975,219 | - | 2,129,827 | - | 855,459 | - |
| 2160 | 應付票據－關係人 | 七 | 18,016 | - | 61,015 | - | 4,292 | - |
| 2170 | 應付帳款 |  | 38,734,064 | 7 | 44,262,498 | 8 | 34,703,731 | 7 |
| 2180 | 應付帳款－關係人 | 七 | 868,645 | - | 755,573 | - | 625,713 | - |
| 2200 | 其他應付款 | 六(十七) | 46,764,216 | 9 | 55,678,951 | 10 | 48,275,289 | 9 |
| 2230 | 本期所得稅負債 | 六(三十二) | 5,231,752 | 1 | 3,607,566 | 1 | 4,261,081 | 1 |
| 2280 | 租賃負債－流動 |  | 14,194,823 | 3 | 13,947,787 | 3 | 13,301,340 | 3 |
| 2310 | 預收款項 |  | 734,619 | - | 711,376 | - | 569,546 | - |
| 2320 | 一年或一營業週期內到期長期負債 | 六(十八) | 6,968,571 | 1 | 7,030,050 | 1 | 5,859,770 | 1 |
| 2399 | 其他流動負債－其他 |  | 4,169,136 | 1 | 4,270,188 | 1 | 4,176,774 | 1 |
| 21XX | 流動負債合計 |  | 181,296,695 | 33 | 188,129,582 | 34 | 165,243,860 | 32 |
| 非流動負債 |  |  |  |  |  |  |  |  |
| 2527 | 合約負債－非流動 | 六(二十五) | 627,345 | - | 594,175 | - | 608,840 | - |
| 2530 | 應付公司債 | 六(十八) | 45,150,000 | 8 | 45,150,000 | 8 | 47,050,000 | 9 |
| 2540 | 長期借款 | 六(十九)及八 | 16,018,738 | 3 | 23,006,540 | 4 | 15,098,777 | 3 |
| 2570 | 遞延所得稅負債 | 六(三十二) | 16,291,194 | 3 | 15,336,960 | 3 | 14,698,208 | 3 |
| 2580 | 租賃負債－非流動 |  | 76,651,778 | 14 | 74,554,152 | 14 | 69,410,361 | 13 |
| 2640 | 淨確定福利負債－非流動 | 六(二十) | 4,353,197 | 1 | 4,521,352 | 1 | 7,019,761 | 1 |
| 2645 | 存入保證金 |  | 6,892,495 | 2 | 6,741,365 | 1 | 6,792,411 | 1 |
| 2670 | 其他非流動負債－其他 |  | 1,310,656 | - | 1,170,834 | - | 2,319,684 | 1 |
| 25XX | 非流動負債合計 |  | 167,295,403 | 31 | 171,075,378 | 31 | 162,998,042 | 31 |
| 2XXX | 負債總計 |  | 348,592,098 | 64 | 359,204,960 | 65 | 328,241,902 | 63 |
| 歸屬於母公司業主之權益 |  |  |  |  |  |  |  |  |
| 股本 |  |  |  |  |  |  |  |  |
| 3110 | 普通股股本 | 六(二十一) | 56,820,154 | 10 | 56,820,154 | 10 | 56,820,154 | 11 |
| 3200 | 資本公積 | 六(二十二) |  | 2,874,966 | 1 | 2,730,532 | 1 | 2,827,008 | - |
| 保留盈餘 | 六(七) |  |  |  |  |  |  |  |
| 3310 | 法定盈餘公積 |  | 28,406,550 | 5 | 28,406,550 | 5 | 26,375,315 | 5 |
| 3320 | 特別盈餘公積 |  | 10,199,676 | 2 | 10,199,821 | 2 | 8,201,
