### 联发科技股份有限公司及子公司合并财务报表附注(续)

(金额除另予注明外，均以新台币仟元为单位)

六、重要会计项目之说明

1. 现金及约当现金

| 项目 | 112.03.31 | 111.12.31 | 111.03.31 |
|------|------------|------------|------------|
| 基存现金及零用金 | $ 1,169 | $ 1,122 | $ 1,132 |
| 支票及活期存款 | 16,968,032 | 15,941,203 | 23,195,223 |
| 定期存款 | 119,777,161 | 131,559,830 | 207,236,543 |
| 约当现金－附买回票券 | 2,950,000 | - | - |
| 合 计 | $ 139,696,362 | $ 147,502,155 | $ 230,432,898 |

上述定期存款係包括十二個月內到期及可隨時轉換成定額現金且價值變動風險甚小之定期存款。

上述现金及约当现金未有提供質押或擔保之情事。

2. 透過損益按公允價值衡量之金融資產及金融負債

| 项目 | 112.03.31 | 111.12.31 | 111.03.31 |
|------|------------|------------|------------|
| 流動項目： | | | |
| 強制透過損益按公允價值衡量之金融資產 | | | |
| 基 金 | $ 4,663,807 | $ 7,284,992 | $ 8,241,337 |
| 組合式商品 | 525,163 | 987,899 | 2,071,258 |
| 債 券 | 147,160 | 146,981 | 20,019 |
| 股 票 | - | 46,631 | 17,727 |
| 遠期外匯合約 | 65,955 | 75,354 | 216,873 |
| 合 计 | $ 5,402,085 | $ 8,541,857 | $ 10,567,214 |

| 持有供交易之金融負債 | | | |
|------|------------|------------|------------|
| 遠期外匯合約 | $ 40,889 | $ 6,097 | $ 28,905 |

### Markdown表格格式

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 基存现金及零用金 | $ 1,169 | $ 1,122 | $ 1,132 |
| 支票及活期存款 | 16,968,032 | 15,941,203 | 23,195,223 |
| 定期存款 | 119,777,161 | 131,559,830 | 207,236,543 |
| 约当现金－附买回票券 | 2,950,000 | - | - |
| 合 计 | $ 139,696,362 | $ 147,502,155 | $ 230,432,898 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 基 金 | $ 4,663,807 | $ 7,284,992 | $ 8,241,337 |
| 組合式商品 | 525,163 | 987,899 | 2,071,258 |
| 債 券 | 147,160 | 146,981 | 20,019 |
| 股 票 | - | 46,631 | 17,727 |
| 遠期外匯合約 | 65,955 | 75,354 | 216,873 |
| 合 计 | $ 5,402,085 | $ 8,541,857 | $ 10,567,214 |

| 持有供交易之金融負債 | | | |
|------|------------|------------|------------|
| 遠期外匯合約 | $ 40,889 | $ 6,097 | $ 28,905 |
