### (二) 折旧及摊销

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 不动产、厂房及设备 | $ 930,101 | $ 951,985 |
| 使用权资产 | 121,972 | 107,571 |
| 无形资产 | 40,422 | 36,355 |
| 投资性不动产 | 7,353 | 7,649 |
| 总计 | $ 1,099,848 | $ 1,103,560 |

### (三) 员工福利费用

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 退职后福利 | | |
| 确定提拨计划 | $ 140,913 | $ 141,504 |
| 确定福利计划（附注二二） | 5,460 | 5,882 |
| 总计 | 146,373 | 147,386 |
| 股份基础给付－权益交割 | 93,224 | - |
| 雇员福利 | 20,026 | 37,425 |
| 其他员工福利 | 4,757,649 | 5,106,385 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 | 2,185,561 |
| 总计 | $ 5,017,272 | $ 5,291,196 |

### (四) 员工酬劳及董事酬劳

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 员工酬劳 | | |
| 确定提拨计划 | $ 2,544,994 | $ 3,105,635 |
| 确定福利计划（附注二二） | 2,472,278 |
