### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 发行溢价 | $13,073,222 | $13,073,222 |
| 股权 | $399,023 | $399,023 |
| 之变动 | $2,488,098 | $2,580,554 |
| 受赠资产 | $446 | $446 |
| 其他 | $7,254 | $7,236 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 发行溢价 | $13,056,017 | $13,073,222 |
| 股权 | $400,116 | $399,023 |
| 之变动 | $2,298,332 | $2,480,418 |
| 受赠资产 | $446 | $446 |
| 其他 | $7,274 | $7,261 |

### (二十一)保留盈余

| 项目 | 112年 | 111年 |
|------|-------|-------|
| 1月1日 | $465,562,042 | $250,555,749 |
| 本期净利 | 32,043,568 | 304,350,822 |
| 盈余指拨及分配 | (180,474,255) | (119,699,895) |
| 员工退职后福利义务之再衡量 | (1,504) | (910) |
| 接用权益法认列之关联企业及合营之变动数 | 125,512 | (218) |
| 9月30日 | $317,255,363 | $435,205,548 |
