由于您提供的图像包含大量的文本内容，而没有明确的表格结构，我将尝试提取和分析其中的财务数据。请注意，由于缺乏明确的表格结构，我将无法生成结构化的数据输出。以下是对图像中财务数据的提取和分析：

### 财务数据提取

1. **应付普通公司债**
   - 原始认列时按其公允价值减除交易成本衡量，就减除交易成本后的价款与赎回价值的任何差额，列为应付公司债之加项或减项；后续按有效利息法按摊销程序于流通期间内认列于损益，作为「财务成本」之调整项目。

2. **应付可转换公司债**
   - 原始认列时按其公允价值减除交易成本衡量，就减除交易成本后的价款与赎回价值的任何差额，列为应付公司债之加项或减项；后续按有效利息法按摊销程序于流通期间内认列于损益，作为「财务成本」之调整项目。

3. **金融负债之除列**
   - 本集团于合约明定之义务履行、取消或到期时，除列金融负债。

4. **金融资产及负债之互抵**
   - 当有法律上可执行之权利将所认列之金融资产及负债金额抵销，且意图以净额基础交割或同时实现资产及清偿负债时，始可将金融资产及金融负债互抵，并于资产负债表中以净额表达。

5. **非避险之衍生工具及嵌入衍生工具**
   - 非避险之衍生工具于原始认列时按签订合约当日之公允价值衡量，帐列透过损益按公允价值衡量之金融资产或负债，后续按公允价值衡量，其利益或损失认列于损益。

### 财务数据分析

- **应付普通公司债**和**应付可转换公司债**的处理方法相似，均涉及原始认列时的公允价值减除交易成本，以及后续按有效利息法按摊销程序于流通期间内认列于损益。
- **金融负债之除列**说明了在合约明定的义务履行、取消或到期时，金融负债将被除列。
- **金融资产及负债之互抵**说明了在法律上可执行的权利下，金融资产和负债可以进行互抵，并在资产负债表中以净额表达。
- **非避险之衍生工具及嵌入衍生工具**的处理方法是原始认列时按签订合约当日的公允价值衡量，后续按公允价值衡量，其利益或损失认列于损益。

由于缺乏明确的表格结构，我无法提供结构化的数据输出。如果您有具体的表格数据或需要进一步的分析，请提供详细信息。
