### 财务报告

#### 111年7月1日至9月30日

| 项目 | 税后金额 | 在外股数(仟股) | 每股亏损（元） |
|------|----------|----------------|----------------|
| 基本每股亏损 | ($13,651,638) | 557,103 | ($ 24.50) |
| 稀释每股亏损 | ($13,651,638) | 557,103 | ($ 24.50) |

#### 112年1月1日至9月30日

| 项目 | 税后金额 | 在外股数(仟股) | 每股盈余（元） |
|------|----------|----------------|----------------|
| 基本每股盈余 | $18,455,979 | 557,103 | $ 33.13 |
| 稀释每股盈余 | $18,455,979 | 557,103 | $ 33.11 |

#### 111年1月1日至9月30日

| 项目 | 税后金额 | 在外股数(仟股) | 每股亏损（元） |
|------|----------|----------------|----------------|
| 基本每股亏损 | ($10,171,868) | 557,103 | ($ 18.26) |
| 稀释每股亏损 | ($10,171,868) | 557,103 | ($ 18.26) |

### Markdown表格格式

| 项目 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|
| 基本每股亏损 | ($13,651,638) | ($13,651,638) | ($10,171,868) |
| 稀释每股亏损 | ($13,651,638) | ($13,651,638) | ($10,171,868) |
