### 财务报告

#### 1. 流动资产
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 36,715,022 | $ 50,192,604 | $ 46,500,497 |
| 透支 | 1,293 | 3,953 | 3,190 |
| 预付款项 | 1,196 | 12,891 | 8,055 |
| 合同资产 | 6,123,875 | 6,055,343 | 5,539,500 |
| 应收账款 | 20,998,008 | 24,672,473 | 21,069,723 |
| 其他流动资产 | 48,058 | 75,061 | 39,645 |
| 存货 | 12,024,191 | 11,316,406 | 12,512,537 |
| 预付款项 | 3,484,576 | 2,398,608 | 5,281,217 |
| 其他流动资产 | 19,980,138 | 3,618,902 | 6,758,881 |
| 其他流动资产 | 3,841,419 | 3,555,423 | 3,352,163 |
| 流动资产总计 | 107,215,672 | 101,901,664 | 101,065,408 |

#### 2. 非流动资产
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透支 | 1,075,777 | 1,020,203 | 805,944 |
| 透支 | 4,040,213 | 3,491,381 | 3,574,284 |
| 透支 | 7,248,179 | 7,155,851 | 7,463,988 |
| 透支 | 3,344,517 | 3,136,801 | 2,756,204 |
| 透支 | 289,265,406 | 291,527,910 | 285,930,724 |
| 透支 | 11,093,820 | 11,102,549 | 10,744,006 |
| 透支 | 8,993,035 | 9,803,861 | 9,652,091 |
| 透支 | 77,556,614 | 79,187,087 | 82,328,310 |
| 透支 | 2,154,497 | 2,196,645 | 2,760,894 |
| 透支 | 954,772 | 979,914 | 967,462 |
| 透支 | 5,429,492 | 5,265,721 | 3,581,626 |
| 透支 | 1,695,289 | 1,728,277 | 1,820,461 |
| 透支 | 4,472,162 | 4,705,624 | 4,923,591 |
| 非流动资产总计 | 417,321,773 | 421,301,824 | 417,309,585 |

#### 3. 资产总计
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 流动资产 | $ 524,535,450 | $ 523,203,488 | $ 518,374,993 |
| 非流动资产 | 417,321,773 | 421,301,824 | 417,309,585 |
| 资产总计 | $ 941,857,223 | $ 944,505,312 | $ 935,684,578 |

#### 4. 流动负债
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 341,800 | - | $ 722,000 |
| 合约负债 | 12,898,161 | 13,390,439 | 12,701,430 |
| 应付账款 | 9,972,835 | 16,428,856 | 11,823,029 |
| 应付职工薪酬 | 277,579 | - | 214,092 |
| 本期所得税 | 7,245,762 | 4,956,465 | 6,830,152 |
| 租赁负债 | 3,319,259 | 3,338,813 | 2,994,856 |
| 其他应付款 | 21,964,773 | 25,079,960 | 21,665,000 |
| 负债准备 | 222,990 | 226,019 | 251,488 |
| 其他流动负债 | 974,018 | - | 1,026,505 |
| 流动负债总计 | 57,217,177 | 65,697,925 | 57,571,552 |

#### 5. 非流动负债
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 长期借款 | 1,600,000 | - | 1,600,000 |
| 应付公司债券 | 30,478,739 | 30,477,357 | 30,473,352 |
| 合约负债 | 7,665,182 | 7,674,095 | 6,900,647 |
| 应付职工薪酬 | 2,336,333 | 2,300,845 | 2,197,088 |
| 负债准备 | 464,538 | - | 141,275 |
| 租赁负债 | 7,243,867 | 7,333,694 | 6,909,109 |
| 存入保证金 | 5,012,177 | 5,156,700 | 4,916,202 |
| 按照规定支付的款项 | 2,266,718
