### 财务报告分析

#### 1. 无形资产 - 净额

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 2. 有限耐用年限无形资产的摊销费用

| 项目 | 3至6年 | 12年 | 4年 | 1至6年 | 1至10年 |
|------|--------|------|-----|-------|-------|
| 专利权 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 | $ 55,543 | $ 55,543 |

#### 3. 商誉分摊至合并公司之现金产生单位

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 母公司 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 其他 | $ 55,543 | $ 55,543 | $ 55,543 |
| 总计 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 4. 累计摊销

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 5. 累计折旧

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 6. 累计摊销

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 7. 累计折旧

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 8. 累计摊销

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 9. 累计折旧

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 10. 累计摊销

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 11. 累计折旧

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,425,133 | $ 3,425,133 | $ 3,425,133 |

#### 12. 累计摊销

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 商誉 | $ 3,369,590 | $ 3,369,590 | $ 3,369,590 |
| 专利权 | $ 55,543 | $ 55,543 | $ 55,543 |
| 专利使用权 | $ 3,42
