以下是从PDF财务报告图像中提取的文本和表格信息：

### 文本内容
- **单位：新台币仟元**
- **後附合併財務報表附註為本合併財務報告之一部分，請併同參閱。**
- **董事長：劉揚偉**
- **經理人：劉揚偉**
- **會計主管：周宗愷**

### 表格数据
#### 流动负债
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 665,565,587 | $ 546,372,008 | $ 464,506,666 |
| 应付短期票据 | 7,130,489 | 23,999,117 | 43,945,617 |
| 透过损益按公允价值衡量之金融负债 - 流动 | 1,342,589 | 964,015 | 2,010,356 |
| 应付帐款 | 872,446,561 | 1,055,155,222 | 780,891,457 |
| 应付帐款 - 关係人 | 15,997,012 | 21,022,980 | 22,892,268 |
| 其他应付款 | 258,616,049 | 213,094,933 | 248,018,907 |
| 本期所得税负债 | 26,191,031 | 26,474,025 | 24,641,380 |
| 负债准备 - 流动 | 3,233,896 | 2,876,585 | 3,706,271 |
| 租赁负债 - 流动 | 7,359,055 | 7,364,055 | 8,963,534 |
| 一年或一营业週期内到期长期负债 | 37,233,853 | 38,586,760 | 74,427,834 |
| 其他流动负债 - 其他 | 72,271,312 | 61,770,571 | 45,167,255 |
| 流动负债合计 | 1,967,387,434 | 1,997,680,271 | 1,719,171,545 |

#### 非流动负债
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 应付公司债 | 227,533,331 | 226,258,790 | 200,396,220 |
| 长期借款 | 50,722,463 | 49,340,778 | 30,256,144 |
| 负债准备 - 非流动 | 434,333 | 430,648 | 408,165 |
| 遞延所得税负债 | 31,950,704 | 32,228,229 | 21,910,058 |
| 租赁负债 - 非流动 | 18,261,281 | 18,217,030 | 19,649,996 |
| 其他非流动负债 | 12,078,531 | 11,462,530 | 10,490,038 |
| 非流动负债合计 | 340,980,643 | 337,938,005 | 283,110,621 |

#### 权益
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股本 | 138,629,906 | 138,629,906 | 138,629,906 |
| 资本公积 | 202,354,644 | 202,084,430 | 200,484,799 |
| 保留盈余 | 170,755,591 | 170,755,591 | 161,043,748 |
| 法定盈余公积 | 87,315,126 | 87,315,126 | 102,451,720 |
| 特别盈余公积 | 829,183,459 | 871,193,344 | 752,676,042 |
| 其他权益 | 42,097,602 | 89,505,893 | 81,263,647 |
| 庫藏股票 | 15,194 | 15,194 | 15,194 |
| 归屬於母公司業主之權益合計 | 1,386,125,930 | 1,380,457,310 | 1,274,007,374 |
| 非控制權益 | 198,962,156 | 192,802,808 | 180,062,053 |
| 權益總計 | 1,585,088,086 | 1,573,260,118 | 1,454,069,427 |

#### 负债及权益总计
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 负债及权益总计 | $ 3,893,456,163 | $ 3,908,878,394 | $ 3,456,351,593 |

### Markdown表格格式
```markdown
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 665,565,587 | $ 546,372,008 | $ 464,506,666 |
| 应付短期票据 | 7,130,489 | 23,999,117 | 43,945,617 |
| 透过损益按公允价值衡量之金融负债 - 流动 | 1,342,589 | 964,015 | 2,010,356 |
| 应付帐款 | 872,446,561 | 1,055,155,222 | 780,891,457 |
| 应付帐款 - 关係人 | 15,997,012 | 21,022,980 | 22,892,268 |
| 其他应付款 | 258,616,049 | 213,094,933 | 248,018,907 |
| 本期所得税负债 | 26,191,031 | 2
