### 111年7月1日至9月30日

| 项目 | 税后金额 | 在外股数(仟股) | 每股盈余（元） |
|------|----------|----------------|----------------|
| 基本每股盈余 | | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | 2,703,037 | $ 37.25 |
| 稀释每股盈余 | | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 2,703,037 | |
| 具稀释作用之潜在普通股之影响 | | | |
| 可转换公司债 | 12,829 | 26,230 | |
| 员工酬劳 | - | - | 3,939 |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | 2,733,206 | $ 36.85 |

### 112年1月1日至9月30日

| 项目 | 税后金额 | 在外股数(仟股) | 每股盈余（元） |
|------|----------|----------------|----------------|
| 基本每股盈余 | | | |
| 归属于母公司普通股股东之本期净利 | $ 32,043,568 | 2,116,420 | $ 15.14 |
| 稀释每股盈余 | | | |
| 归属于母公司普通股股东之本期净利 | 32,043,568 | 2,116,420 | |
| 具稀释作用之潜在普通股之影响 | | | |
| 可转换公司债 | 38,797 | 48,005 | |
| 员工酬劳 | - | - | 2,126 |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $ 32,082,365 | 2,166,551 | $ 14.81 |
