### 财务报告

#### 2. 合约资产及合约负债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 111年1月1日 |
|------|--------------|---------------|--------------|--------------|
| 合约资产： | | | | |
| 合约资产-货运收入 | $ 1,767,840 | $ 1,748,928 | $ 3,536,071 | $ 4,525,961 |
| 合约负债： | | | | |
| 合约负债-预收货款收入 | ($ 7,439,480) | ($ 7,444,311) | ($ 15,619,553) | ($ 13,530,256) |

#### 期初合约负债本期确认收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 货运收入 | $ - | $ - |
| 货运收入 | $ 7,444,311 | $ 13,530,256 |

#### (二十四)其他收益及费用净额

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 处分不动产、厂房及设备净利益 | $ 425,627 | $ 217,985 |
| 处分不动产、厂房及设备净利益 | $ 1,057,990 | $ 864,969 |

#### (二十五)利息收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 银行存款利息 | $ 3,508,211 | $ 1,821,607 |
| 按摊销后成本衡量之金融资产利息收入 | $ 372,708 | $ 171,166 |
| 押金核算利息 | $ 2 | $ - |
| 总计 | $ 3,880,921 | $ 1,992,773 |
| 112年1月1日至9月30日 | $ 10,428,333 | $ 2,537,539 |
| 按摊销后成本衡量之金融资产利息收入 | $ 1,111,156 | $ 407,207 |
| 押金核算利息 | $ 8 | $ - |
| 总计 | $ 11,539,497 | $ 2,944,746 |

#### 总计

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 总计 | $ 11,539,497 | $ 2,944,746 |
