### (十一)不動產、廠房及設備

| 项目 | 112年 |
|------|------|
| 土地 | $12,482,536 |
| 房屋及建築 | $6,096,113 |
| 供自用 | $137,843 |
| 供租賃 | $59,990 |
| 水電設備 | $2,895,848 |
| 供自用 | $764,199 |
| 供租賃(註) | $573,027 |
| 生財器具 | $58,670,085 |
| 供自用 | $1,058,541 |
| 供租賃(註) | $18,353,084 |
| 機具設備 | $779,793 |
| 供自用 | $199,541 |
| 供租賃(註) | $193,399 |
| 租賃改良 | $2,128,054 |
| 預付房地款 | $60,555,510 |
| 合計 | $84,587,488 |

| 项目 | 112年3月31日 |
|------|--------------|
| 土地 | $12,455,686 |
| 房屋及建築 | $3,520,490 |
| 供自用 | $7,278 |
| 供租賃 | $140 |
| 水電設備 | $1,371,018 |
| 供自用 | $362,903 |
| 供租賃(註) | $199,541 |
| 生財器具 | $40,317,001 |
| 供自用 | $193,399 |
| 供租賃(註) | $2,128,054 |
| 機具設備 | $2,128,054 |
| 供自用 | $18,687,275 |
| 供租賃(註) | $693,486 |
| 租賃改良 | $18,687,275 |
| 預付房地款 | $60,555,510 |
| 合計 | $60,555,510 |

| 项目 | 112年9月30日 |
|------|--------------|
| 土地 | $11,340,364 |
| 房屋及建築 | $4,918,610 |
| 供自用 | $6,373 |
| 供租賃 | $107 |
| 水電設備 | $3,049,766 |
| 供自用 | $393,981 |
| 供租賃(註) | $230,875 |
| 生財器具 | $43,577,102 |
| 供自用 | $226,706 |
| 供租賃(註) | $1,244,185 |
| 機具設備 | $1,244,185 |
| 供自用 | $64,988,069 |
| 供租賃(註) | $64,988,069 |
| 租賃改良 | $64,988,069 |
| 預付房地款 | $64,988,069 |
| 合計 | $64,988,069 |

### 註
該資產係屬和運及和潤等子公司專供租賃業務使用之資產。該出租資產於停止出租而轉供出售時，以其帳面金額轉列存貨，出售該等資產之價款轉列為銷貨收入，並轉列相關銷貨成本。
