### (二十三)營業收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 客戶合約之收入 | $ 72,663,867 | $ 170,296,461 |
| 其他-船租收入 | $ 148,547 | $ 136,900 |
| 合計 | $ 72,812,414 | $ 170,433,361 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 客戶合約之收入 | $ 206,608,125 | $ 515,858,883 |
| 其他-船租收入 | $ 415,554 | $ 398,350 |
| 合計 | $ 207,023,679 | $ 516,257,233 |

### 1. 客戶合約收入之細分

合併公司之收入源於提供隨時間逐步移轉(船東、代理行及櫃場碼頭)及於某一時點移轉(其他)之勞務，收入可細分為下列主要事業群。另船東、代理行及櫃場碼頭分類為運輸部門，於營運部門資訊表達，請詳附註十四(二)。

| 项目 | 112年7月1日 | 111年7月1日 |
|------|--------------|--------------|
| 至9月30日 | 船東 | 代理行 | 櫃場碼頭 | 其他 | 合計 |
| 部門收入 | $ 80,639,123 | $ 2,699,781 | $ 3,801,718 | $ 1,187,509 | $ 88,328,131 |
| 內部部門交易之收入 | (10,361,952) | (1,676,603) | (2,620,987) | (1,004,722) | (15,664,264) |
| 外部客戶合約收入 | $ 70,277,171 | $ 1,023,178 | $ 1,180,731 | $ 182,787 | $ 72,663,867 |
| 部門收入 | $ 178,588,137 | $ 4,677,882 | $ 4,121,225 | $ 1,152,409 | $ 188,539,653 |
| 內部部門交易之收入 | (11,718,205) | (2,799,197) | (2,765,312) | (960,478) | (18,243,192) |
| 外部客戶合約收入 | $ 166,869,932 | $ 1,878,685 | $ 1,355,913 | $ 191,931 | $ 170,296,461 |
| 部門收入 | $ 225,207,094 | $ 8,048,887 | $ 12,822,698 | $ 2,903,522 | $ 248,982,201 |
| 內部部門交易之收入 | (27,277,017) | (4,686,185) | (8,047,951) | (2,362,923) | (42,374,076) |
| 外部客戶合約收入 | $ 197,930,077 | $ 3,362,702 | $ 4,774,747 | $ 540,599 | $ 206,608,125 |
| 部門收入 | $ 537,501,432 | $ 13,746,668 | $ 12,257,402 | $ 2,888,447 | $ 566,393,949 |
| 內部部門交易之收入 | (31,946,229) | (8,236,574) | (8,281,243) | (2,071,020) | (50,535,066) |
| 外部客戶合約收入 | $ 505,555,203 | $ 5,510,094 | $ 3,976,159 | $ 817,427 | $ 515,858,883 |

### 1. 客戶合約收入之細分

合併公司之收入源於提供隨時間逐步移轉(船東、代理行及櫃場碼頭)及於某一時點移轉(其他)之勞務，收入可細分為下列主要事業群。另船東、代理行及櫃場碼頭分類為運輸部門，於營運部門資訊表達，請詳附註十四(二)。
