### (二十六)其他收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 租金收入 | $58,900 | $37,891 |
| 股利收入 | 23,692 | 35,333 |
| 廉价购买利益 | 4,963,982 | - |
| 其他收入 | 61,479 | 42,121 |
| 总计 | $5,108,053 | $115,345 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 租金收入 | $162,222 | $135,527 |
| 股利收入 | 47,579 | 152,489 |
| 廉价购买利益 | 4,963,982 | 3,863 |
| 其他收入 | 295,165 | 142,296 |
| 总计 | $5,468,948 | $434,175 |

### (二十七)其他利益及损失

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 处分投资净利益 | $6,266,892 | $987 |
| 租赁修改净损失 | (17,616) | (39,805) |
| 外币兑换净利益 | 1,174,166 | 5,464,549 |
| 透过损益按公允价值衡量之金融资产/负债净益(损) | 9,464 | (33,373) |
| 处分使用权资产净损失 | (381) | (74) |
| 投资性不动产折旧费用 | (66,951) | (56,834) |
| 什项支出 | (111,321) | (20,937) |
| 总计 | $7,254,253 | $5,314,513 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 处分投资净利益 | $6,508,861 | $33,582 |
| 租赁修改净(损失)利益 | (15,328) | 136 |
| 外币兑换净利益 | 2,792,156 | 9,353,617 |
| 透过损益按公允价值衡量之金融资产/负债净益(损) | 15,441 | (72,445) |
| 处分使用权资产净损失 | (575) | (643) |
| 投资性不动产折旧费用 | (184,513) | (169,738) |
| 什项支出 | (167,360) | (197,477) |
| 总计 | $8,948,682 | $8,947,032 |
