### 财务报告

#### 112年7月1日至9月30日
| 项目 | 金额 | % | 金额 | % | 金额 | % | 金额 | % |
|------|------|---|------|---|------|---|------|---|
| 8360 | 3,376,371 | 8 | 2,935,455 | 6 | 2,889,447 | 3 | 6,466,015 | 5 |
| 8361 | 45,806 | - | (33,012) | - | 32,379 | - | 5,118 | - |
| 8399 | (678,216) | (2) | (580,845) | (1) | (569,386) | (1) | (1,282,036) | (1) |
| 8300 | 2,743,961 | 7 | 2,321,598 | 5 | 2,352,440 | 2 | 5,189,097 | 4 |
| 8500 | 2,666,369 | 7 | 2,198,295 | 5 | 2,436,770 | 2 | 5,064,989 | 4 |
| 8610 | 4,557,708 | 11 | 4,239,775 | 9 | 11,110,767 | 10 | 10,303,564 | 8 |
| 8620 | 8,968 | - | 12,026 | - | 30,150 | - | 30,061 | - |
| 8600 | 4,566,676 | 11 | 4,251,801 | 9 | 11,140,917 | 10 | 10,333,625 | 8 |
| 8710 | 7,207,634 | 18 | 6,414,912 | 14 | 13,515,133 | 12 | 15,321,137 | 12 |
| 8720 | 25,411 | - | 35,184 | - | 62,554 | - | 77,477 | - |
| 8700 | 7,233,045 | 18 | 6,450,096 | 14 | 13,577,687 | 12 | 15,398,614 | 12 |
| 每股盈余（附注二八） | | | | | | | | |
| 9750 | 1.99 | | 1.86 | | 4.86 | | 4.51 | |
| 9850 | 1.97 | | 1.84 | | 4.80 | | 4.46 | |

#### 111年7月1日至9月30日
| 项目 | 金额 | % | 金额 | % | 金额 | % | 金额 | % |
|------|------|---|------|---|------|---|------|---|
| 8360 | 2,935,455 | 6 | 2,889,447 | 3 | 6,466,015 | 5 | 2,935,455 | 6 |
| 8361 | 33,012 | - | 32,379 | - | 5,118 | - | (33,012) | - |
| 8399 | 580,845 | (1) | 569,386 | (1) | (1,282,036) | (1) | (678,216) | (2) |
| 8300 | 2,321,598 | 5 | 2,352,440 | 2 | 5,189,097 | 4 | 2,321,598 | 5 |
| 8500 | 2,198,295 | 5 | 2,436,770 | 2 | 5,064,989 | 4 | 2,198,295 | 5 |
| 8610 | 4,239,775 | 9 | 11,110,767 | 10 | 10,303,564 | 8 | 4,239,775 | 9 |
| 8620 | 12,026 | - | 30,150 | - | 30,061 | - | 12,026 | - |
| 8600 | 4,251,801 | 9 | 11,140,917 | 10 | 10,333,625 | 8 | 4,251,801 | 9 |
| 8710 | 6,414,912 | 14 | 13,515,133 | 12 | 15,321,137 | 12 | 6,414,912 | 14 |
| 8720 | 35,184 | - | 62,554 | - | 77,477 | - | 35,184 | - |
| 8700 | 6,450,096 | 14 | 13,577,687 | 12 | 15,398,614 | 12 | 6,450,096 | 14 |
| 每股盈余（附注二八） | | | | | | | | |
| 9750 | 1.86 | | 4.86 | | 4.51 | | 1.86 | |
| 9850 | 1.84 | | 4.80 | | 4.46 | | 1.84 | |

#### 112年1月1日至9月30日
| 项目 | 金额 | % | 金额 | % | 金额 | % | 金额 | % |
|------|------|---|------|---|------|---|------|---|
| 8360 | 2,889,447 | 3 | 6,466,015 | 5 | 2,935,455 | 6 | 2,889,447 | 3 |
| 8361 | 32,379 | - | 5,118 | - | (33,012) | - | 32,379 | - |
| 8399 | 569,386 | (1) | (1,282,036) | (1) | (678,216) | (2) | 569,386 | (1) |
| 8300 | 2,352,440 | 2 | 5,189,097 | 4 | 2,321,598 | 5 | 2,352,440 | 2 |
| 8500 | 2,436,770 | 2 | 5,064,989 | 4 | 2,198,295 | 5 | 2,436,770 | 2 |
| 8610 | 11,110,767 | 10 | 10,303,564 | 8 | 4,239,775 | 9 |
