### 文本输出

8. 若假設 EIM 自民國 111 年 1 月 1 日即已納入合併，則合併公司民國 111 年 1 月 1 日至 9 月 30 日之營業收入及稅前淨利將分別增加 $15,763 及 $46,500。

9. 若假設長榮保全自民國 111 年 1 月 1 日即已納入合併，則合併公司民國 111 年 1 月 1 日至 9 月 30 日之營業收入及稅前淨利將分別增加 $183,339 及 $11,876。

(三十五)現金流量補充資訊

1. 僅有部分現金收支之投資活動：

| (1)不動產、廠房及設備 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------------------------|---------------------|---------------------|
| 購置不動產、廠房及設備 | $10,491,193          | $13,396,421          |
| 加：期初應付設備款     | 9,798                | 2,373,622           |
| 減：期末應付設備款     | (493,085)           | (5,502)             |
| 減：利息資本化         | (252)                | -                   |
| 本期支付現金           | $10,007,654          | $15,764,541          |

| (2)預付設備款（帳列其他非流動資產） | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|--------------------------------------|---------------------|---------------------|
| 預付設備及房地款支付數             | $18,867,335          | $25,978,760          |
| 加：期初應付設備款                 | 1,165,010           | 64,063              |
| 減：期末應付設備款                 | (181,374)           | (3,443,041)         |
| 減：利息資本化                     | (6,793)             | (17,202)            |
| 本期支付現金                       | $19,844,178          | $22,582,580          |

| (3)無形資產 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|--------------|---------------------|---------------------|
| 取得無形資產 | $44,639             | $29,513             |
| 加：期初應付設備款 | -                  | 4,385               |
| 減：期末應付設備款 | (9,469)             | -                   |
| 本期支付現金 | $35,170             | $33,898             |

| (4)收取之股利 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|----------------|---------------------|---------------------|
| 股利收入（含採用權益法之投資） | $2,143,277          | $1,257,695          |
| 加：期初應收股利 | -                  | -                   |
| 減：期末應收股利 | (24,402)            | -                   |
| 本期收取之股利 | $2,118,875          | $1,257,695          |

### 表格输出

```markdown
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 購置不動產、廠房及設備 | $10,491,193          | $13,396,421          |
| 加：期初應付設備款     | 9,798                | 2,373,622           |
| 減：期末應付設備款     | (493,085)           | (5,502)             |
| 減：利息資本化         | (252)                | -                   |
| 本期支付現金           | $10,007,654          | $15,764,541          |

| 預付設備及房地款支付數             | $18,867,335          | $25,978,760          |
| 加：期初應付設備款                 | 1,165,010           | 64,063              |
| 減：期末應付設備款                 | (181,374)           | (3,443,041)         |
| 減：利息資本化                     | (6,793)             | (17,202)            |
| 本期支付現金                       | $19,844,178          | $22,582,580          |

| 取得無形資產 | $44,639             | $29,513             |
| 加：期初應付設備款 | -                  | 4,385               |
| 減：期末應付設備款 | (9,469)             | -                   |
| 本期支付現金 | $35,170             | $33,898             |

| 股利收入（含採用權益法之投資） | $2,143,277          | $1,257,695          |
| 加：期初應收股利 | -                  | -                   |
| 減：期末應收股利 | (24,402)            | -                   |
| 本期收取之股利 | $2,118,875          | $1,257,695          |
```
