### 财务报告

#### 合并损益表
**单位：新台币仟元**

| 项目 | 附註 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|------|----------------------|----------------------|----------------------|----------------------|
| 4000 | 营业收入 | $18,613,912 | $15,506,864 | $51,557,924 | $42,877,954 |
| 5000 | 营业成本 | (11,834,275) | (9,800,835) | (32,121,677) | (26,745,909) |
| 5950 | 营业毛利净额 | 6,779,637 | 5,706,029 | 19,436,247 | 16,132,045 |
| 6100 | 推销费用 | (1,428,671) | (1,200,627) | (4,184,863) | (3,649,590) |
| 6200 | 管理费用 | (757,412) | (781,178) | (2,219,020) | (2,169,709) |
| 6300 | 研究发展费用 | (1,191,397) | (1,123,052) | (3,490,398) | (3,215,351) |
| 6450 | 预期信用减损利益(损失) | (23,771) | - | (41,279) | - |
| 6000 | 营业费用合计 | (3,401,251) | (3,098,412) | (9,935,560) | (9,040,222) |
| 6900 | 营业利益 | 3,378,386 | 2,607,617 | 9,500,687 | 7,091,823 |
| 7100 | 利息收入 | 8,983 | - | 21,514 | - |
| 7010 | 其他收入 | 271,023 | 1 | 352,773 | 1 |
| 7020 | 其他利益及损失 | 125,161 | 1 | 143,518 | - |
| 7050 | 财务成本 | (6,547) | - | (19,047) | - |
| 7060 | 採用權益法認列之關聯企業及合資損益之份額 | 189,841 | 1 | 274,657 | - |
| 7000 | 营业外收入及支出合计 | 588,461 | 3 | 275,195 | 1 |
| 7900 | 税前净利 | 3,966,847 | 21 | 10,274,102 | 20 |
| 7950 | 所得税费用 | (790,554) | (4) | (2,065,983) | (4) |
| 8200 | 本期净利 | $3,176,293 | 17 | $8,208,119 | 16 |

#### 续次页

---

**注意：** 以上数据为示例，实际数据应根据PDF财务报告内容进行提取和处理。
