### 财务报告表格

#### 投资公司名称
| 投资公司名称 | 子公司名称 | 业务性质 | 111年9月30日 | 110年12月31日 | 110年9月30日 | 说明 |
|--------------|------------|----------|--------------|---------------|--------------|------|
| 瑞昱半导体股份有限公司 | 波比特科技股份有限公司 | 電腦設備製造及安裝、電子材料、資訊軟體批發、零售及服務 | 67% | 67% | 67% | 註3 |
| 瑞昱半導體股份有限公司 | 昱鈺科技股份有限公司 | 積體電路之設計、資訊軟體及電子材料之製造、銷售與批發 | 100% | 100% | - | 註1及註4 |
| Leading Enterprises Limited | Realtek Semiconductor (Japan) Corp. | 資訊蒐集及技術服務 | 100% | 100% | 100% | 註3 |
| Leading Enterprises Limited | Circon Universal Inc. | 對各種事業之投資 | 100% | 100% | 100% | 註3 |
| Amber Universal Inc. | Realtek Semiconductor (Hong Kong) Limited | 資訊及技術服務 | 100% | 100% | 100% | 註3 |
| Amber Universal Inc. | 瑞昱半導體(深圳)有限公司 | 研發與技術服務 | 100% | 100% | 100% | 註3 |
| Empsonic Enterprises Inc. | 瑞晟微電子(蘇州)有限公司 | " | 100% | 100% | 100% | 註3 |
| Talent Eagle Enterprise Inc. | Ubilinx Technology Inc. | " | 100% | 100% | 100% | 註3 |
| Realtek Singapore Private Limited | Cortina Access Inc. | " | 100% | 100% | 100% | 註3 |
| Realtek Singapore Private Limited | 科締納科技股份有限公司 | " | 100% | 100% | 100% | 註3 |
| Realtek Singapore Private Limited | 科締納網路系統(上海)有限公司 | " | 100% | 100% | 100% | 註3 |

#### 总计
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 庫存现金 | $ 1,777 | $ 1,750 | $ 2,137 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 说明
- 註1：...（此处省略）
- 註2：...（此处省略）
- 註3：...（此处省略）
- 註4：...（此处省略）
