```markdown
|  | 112年7至9月 | 111年7至9月 |
|---|---|---|
| 處分不動產、廠房及設備(損失) | ($13,741) | $1,294 |
| 利益 |  |  |
| 處分待出售非流動資產利益 | - | 234,030 |
| 處分投資性不動產(損失)利益 | (357) | 1,387 |
| 處分無形資產損失 | (117) | - |
| 處分投資利益 | - | 253 |
| 租賃修改利益 | 34,365 | 21,226 |
| 淨外幣兌換利益 | 38,339 | 89,083 |
| 透過損益按公允價值衡量之金融 |  |  |
| 商品淨利益 | 36,202 | 101,110 |
| 非金融資產減損迴轉利益 | 61 | 59 |
| 什項支出 | (780,283) | (418,424) |
| ($685,531) | $30,018 |

|  | 112年1至9月 | 111年1至9月 |
|---|---|---|
| 處分不動產、廠房及設備損失 | ($9,972) | ($40,092) |
| 處分待出售非流動資產利益 | - | 238,750 |
| 處分投資性不動產(損失)利益 | (365) | 30,894 |
| 處分無形資產損失 | (117) | - |
| 處分投資利益 | 10,914,814 | 3,980 |
| 租賃修改利益 | 1,596,802 | 97,651 |
| 淨外幣兌換利益 | 163,258 | 127,390 |
| 透過損益按公允價值衡量之金融 |  |  |
| 商品淨利益 | 288,928 | 326,460 |
| 非金融資產減損迴轉利益 | 276 | 188 |
| 什項支出 | (1,509,596) | (1,143,973) |
| $11,444,028 | ($358,752)
```
