```markdown
| 對象 | 授信額度 | 授信期間 | 利率 | 償還辦法 |
|------|----------|----------|------|----------|
| 彰化商業銀行 | $560,000 | 自首動日起算七年 | 按中華郵政股份有限公司二年期定儲機動利率，加／減碼，且實際收利率不得低於1% | 宽限期三年，自寬限期滿後，按月平均攤還本金 |
| 彰化商業銀行 | $2,000,000 | 自首動日起算七年 | 利率按郵儲二年機動加碼計收，且不得低於1.5% | 宽限期三年，自寬限期滿後，按月平均攤還本金 |
| 臺灣銀行等二十二家金融機構（c） | 甲項41,000,000 | 自首次動用日起算5年循環動用 | 甲-1項：按動用日前二個營業日日上午11時30分左右之中華民國銀行商業同業公會全國聯合會金融業拆款中心公告之與借款人所選擇借款天期相當之台北金融業拆款定盤利率加碼固定計息 | 自首次動用日起算六十個月需十足清償未清償之額度 |
| | 甲-2項：發行商業本票保證20,500,000 | | | |
| | 甲-1項與甲-2項授信額度共用額度不逾41,000,000 | | | |
| | 乙項額度不逾7,500,000 | 自首次動用日起算3年不得循環動用 | 按動用日前二個營業日日上午11時30分左右之中華民國銀行商業同業公會全國聯合會金融業拆款中心公告之與借款人所選擇借款天期相當之台北金融業拆款定盤利率加碼固定計息 | 自首次動用日起算屆滿十二個月開始清償，每六個月為一期償還未清償之額度 |
| 交通銀行 | $2,000,000 | 112.06.16-114.06.16 | 按銀行報價 | 居期清償 |
| 永豐商業銀行 | $2,500,000 | 112.09.06-114.09.30 | 按銀行報價 | 居期清償 |
| 星展銀行香港分行 | USD 150,000 | 112.04.13-114.04.13 | 按銀行報價 | 居期清償 |
| 日商三菱日聯銀行（b） | $3,500,000 | 自首次動用日起算屆滿三年之日止 | 第一年固定利率0.89%；第二至三年固定利率0.90% | 自首次動用日起算屆滿三年之日止 |
| 日商三菱日聯銀行 | USD 60,000 | 112.05.31-114.05.31 | 按銀行報價 | 居期清償 |
| 星展銀行台北分行 | $3,000,000 | 112.04.13-114.04.13 | 按銀行報價 | 居期清償 |
| 日商三井住友銀行台北分行 | $3,800,000 | 110.10.12-114.06.30 | 按銀行報價 | 居期清償 |
| 匯豐銀行 | USD 20,000 | 110.07.15-113.08.30 | 按銀行報價 | 居期清償 |
| 匯豐銀行 | USD 70,000 | 112.05.29-114.05.29 | 按銀行報價 | 居期清償 |
| 台北富邦銀行（a） | USD 20,000 | 自首次動用日起算屆滿三年之日止 | 按銀行報價 | 居期清償 |
| 臺灣銀行 | $3,000,000 | 110.12.03-113.10.20 | 按銀行報價 | 居期清償 |
| 渣打銀行香港分行 | USD 60,000 | 動用日起算屆滿二年或三年之日止 | 按銀行報價 | 居期清償 |
| 日商瑞穗銀行台北分行 | USD 100,000 | 111.12.30-113.12.30 | 按銀行報價 | 居期清償 |
| 第一商業銀行 | $1,000,000 | 111.03.30-114.04.30 | 按銀行報價 | 居期清償 |
| Ceska sporitelna | € 4,500 | 107.02.14-113.05.31 | 按銀行報價 | 自107年12月31日起，按月平均攤還本金 |
| 三井住友銀行、瑞穗銀行及日本政策投資銀行 | ¥ 11,000,000 | 110.02.26-113.09.30 | 按日本3月期東京銀行同業拆款利率加碼0.57% | 每年3月1日及9月30日償還737,000仟日圓 |
| 三井住友銀行、瑞穗銀行及日本政策投資銀行 | ¥ 16,500,000 | 110.02.26-114.09.30 | 按日本3月期東京銀行同業拆款利率加碼0.65% | 到期日償還未清償之額度 |
| 葡萄牙政府專案無息貸款 | € 2,500 | 106.01.01-114.02.01 | 政府無息貸款 | 每年2月1日及8月1日償還20萬歐元 |
| 葡萄牙政府專案無息貸款 | € 900 | 108.02.01-115.09.01 | 政府無息貸款 | 自110.03.01起算，每年3月1日及9月1日償還10萬歐元 |
| 台新國際商業銀行 | $500,000 | 108.09.24-113.09.15 | 按中華郵政股份有限公司二年期定儲機動利率，加／減碼，且實際收利率不得低於0.1% | 宽限期三年，自寬限期滿後，按月平均攤還本金 |
```

(接次頁)
