```markdown
| 投 資 公 司 名 稱 | 子 公 司 名 稱 | 業 務 | 性 質 | 所 持 股 權 百 分 比 | 說 明 |
| :--: | :--: | :--: | :--: | :--: | :--: |
| Chunghwa Telecom (Thailand) Co., Ltd. | 中華資安國際股份有限公司 | 國際數據專線、IP 虛擬企業網路、ICT、雲端加值服務等 | 100 | 100 | 100 |
| | | 電腦設備安裝、電腦及事務性機器設備批發零售、資訊軟體批發零售、管理顧問服務、資料處理服務、電子供應服務、網路認證服務 | 73 | 77 | 77 |
| | 資拓宏宇國際股份有限公司 | 資訊系統發展及維運、產業解決方案之開發與銷售、資訊管理顧問諮詢、相關產品代理與銷售 | 51 | 51 | 51 |
| | | 國際投資業務 | 100 | 100 | 100 |
| | | 資訊產品之買賣 | 96 | 96 | 96 |
| | | 資訊產品之買賣 | 100 | 100 | 100 |
| | | 財產保險代理業務 | 100 | 100 | 100 |
| | | 資訊產品之買賣 | 100 | 100 | 100 |
| | | 資訊產品之維修 | 100 | 100 | 100 |
| | | 資訊產品之買賣 | 100 | 100 | 100 |
| | | 人身保險代理業務 | 100 | 100 | 100 |
| | | 電信及網路服務 | 100 | 100 | 100 |
| | | 電信及網路服務 | 100 | 100 | 100 |
| | | 電信及網路服務 | 49 | 49 | 49 |
| | | 半導體測試零組件及印刷電路板等電子產品之產銷 | 34 | 34 | 34 |
| | | 半導體測試零組件及印刷電路板之接案設計及售後服務 | 100 | 100 | 100 |
| | | 電子零件、機械加工品、印刷電路板相關服務 | 100 | 100 | 100 |
| | | 電子材料批發業、電子材料零售業及一般投資業務 | 100 | 100 | 100 |
| | | 一般投資業務 | 100 | - | - |
| | | 智慧設備製造、銷售、智慧工廠軟硬體整合及技術諮詢 | 54 | - | - |
| | | 國際投資業務 | 100 | 100 | 100 |
| | | 資訊產品之買賣 | - | - | - |
| | | 一般投資業務 | 100 | 100 | 100 |
| | | 企業客戶資通訊整體解決方案、iEN 智慧節能服務 | 100 | 100 | 100 |
| | | 印刷電路板的設計及提供技術諮詢和技術服務 | 100 | 100 | 100 |
| | | 電路板組裝加工銷售、印刷電路板的設計及提供技術諮詢和技術服務 | 100 | 100 | 100 |
| | | 一般投資業務 | 100 | 100 | 100 |
| | | 一般投資業務 | - | 100 | 100 |
| | | 資訊系統發展及維運業務 | 99.96 | 99.96 | 99.96 |
| | | 一般投資業務及技術諮詢服務 | 100 | 100 | 100 |

(接次頁)
```
