```markdown
# 2. 列入合併財務報告之子公司：

| 投資公司名稱 | 子公司名稱 | 業務性質 | 所持股權百分比 |
| --- | --- | --- | --- |
| 統一企業(股)公司 | Cayman President Holdings Ltd. | 經營專業投資業務 | 100.00 |
| 統一企業(股)公司 | 凱友投資(股)公司 | 經營專業投資業務 | 100.00 |
| 統一企業(股)公司 | 凱南投資(股)公司 | 經營專業投資業務 | 100.00 |
| 統一企業(股)公司 | President Global Corp. | 進口速食麵、果汁罐頭 | 100.00 |
| 統一企業(股)公司 | 統上開發建設(股)公司 | 建築業 | 100.00 |
| 統一企業(股)公司 | 統義玻璃工業(股)公司 | 玻璃製品之製造及買賣等 | 100.00 |
| 統一企業(股)公司 | 統一速邁自販(股)公司 | 飲料、食品批發零售 | 100.00 |
| 統一企業(股)公司 | 統一數網(股)公司 | 資訊業 | 100.00 |
| 統一企業(股)公司 | 統一夢公園生活事業(股)公司 | 食品等銷售、一般廣告及旅遊諮詢服務業等 | 100.00 |
| 統一企業(股)公司 | 統一棒球隊(股)公司 | 職業棒球 | 100.00 |
| 統一企業(股)公司 | 統流開發(股)公司 | 物流配送等 | 100.00 |
| 統一企業(股)公司 | 統樂開發事業(股)公司 | 高爾夫球練習場等休閒娛樂事業 | 100.00 |
| 統一企業(股)公司 | 統一生機開發(股)公司 | 米糧、蔬菜、茶、飲料等銷售 | 100.00 |
| 統一企業(股)公司 | 統正開發(股)公司 | 購物中心、百貨公司及國際貿易業等 | 100.00 |
| 統一企業(股)公司 | 統合開發(股)公司 | 休閒娛樂產業之經營管理 | 100.00 |
| 統一企業(股)公司 | 南聯國際貿易(股)公司 | 經營貿易及相關之國內外買賣業務等 | 100.00 |
| 統一企業(股)公司 | 統健實業(股)公司 | 健康食品銷售 | 100.00 |
| 統一企業(股)公司 | 統一國際開發(股)公司 | 產業投資 | 76.70 |
| 統一企業(股)公司 | 統一開發(股)公司 | 轉運站及附屬設施之營運 | 70.00 |
| 統一企業(股)公司 | 德記洋行(股)公司 | 產品之行銷代理及物流等業務 | 65.40 |
```
