1. **文件类型**：财务报表
2. **公司名称**：台湾化学纤维股份有限公司及子公司
3. **主要标题或类别**：
   - 流动负债
   - 非流动负债
   - 归属于母公司股东的权益
   - 重大或有负债及未列示之合约
   - 重大之后事项
   - 负债及权益总计

### 财务数据摘要

#### 流动负债
- **短期借款**：2100
  - 金额：$41,589,873
  - 占比：7%
- **应付短期票据**：2110
  - 金额：$37,270,503
  - 占比：6%
- **其他应付款**：2120
  - 金额：$2,826
  - 占比：-%

#### 非流动负债
- **应付公司债**：2530
  - 金额：$40,650,000
  - 占比：7%
- **长期借款**：2540
  - 金额：$18,664,363
  - 占比：3%
- **递延所得税负债**：2570
  - 金额：$383,066
  - 占比：-
- **租赁负债**：2580
  - 金额：$806,781
  - 占比：-
- **其他非流动负债**：2600
  - 金额：$4,694,546
  - 占比：1%

#### 归属于母公司股东的权益
- **股本**：3110
  - 金额：$58,611,863
  - 占比：10%
- **资本公积**：3200
  - 金额：$9,244,529
  - 占比：2%
- **其他权益**：3400
  - 金额：$83,979,313
  - 占比：15%

#### 重大或有负债及未列示之合约
- **重大之后事项**：3X2X
  - 金额：$577,517,807
  - 占比：100%

#### 负债及权益总计
- **负债总计**：$197,762,098
- **权益总计**：$379,755,709
- **负债及权益总计**：$577,517,807

### 其他信息
- **单位**：新台币仟元
- **报告日期**：民国112年3月31日及民国111年12月31日、3月31日
- **报告类型**：合并财务报表
- **报告主体**：台湾化学纤维股份有限公司及子公司
- **报告负责人**：董事长：洪福源，经理人：吕文进，会计主管：郑文彦
