1. **文件类型**：财务报表
2. **公司名称**：和泰汽车股份有限公司及子公司
3. **主要标题或类别**：
   - 收入
   - 支出
   - 支出合計
   - 本期(净损)净利

### 财务数据摘要

#### 收入
- **总收入**：188,844,546新台币
- **主要收入来源**：
  - 销售收入：162,116,415新台币
  - 其他收入：26,728,131新台币

#### 支出
- **总支出**：188,844,546新台币
- **主要支出项目**：
  - 利息费用：1,403,958新台币
  - 承保费用：2,100,259新台币
  - 佣金费用：3,672,015新台币
  - 保险赔偿与给付：2,871,840新台币
  - 其他保险负债净变动：727,075新台币
  - 销售成本：138,833,735新台币
  - 研究发展费用：84,887新台币
  - 非投资之预期信用减损损失：822,003新台币
  - 投资性不動產費用及损失：24,925新台币
  - 其他支出：74,021新台币

#### 支出合計
- **总支出**：188,844,546新台币

#### 本期(净损)净利
- **净利**：15,157,103新台币

### 其他信息
- **单位**：新台币
- **备注**：除每股(虧損)盈餘为新台币元外
