```markdown
# 金融負債 - 流動

## 強制透過損益按公允價值衡量

### 衍生工具 (未指定避險)

#### - 遠期外匯合約

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| (一) | $35,296 | $177,992 | $365,208 |
| (二) | - | 40 | 3,427 |
| (三) | 13,778 | - | - |
| - 可轉換公司債券回及賣回權（附注二十） | - | 32,322 | 185,872 |
| | $49,074 | $210,354 | $554,507 |

## (一) 於資產負債表日未適用避險會計且尚未到期之遠期外匯合約如下：

|  | 別 | 到期期間 | 合約金額 |
|---|---|---|---|
| 112年9月30日 | 美元兌新台幣 | 112.11.15-112.11.17 | 7,000仟美元／206,866仟元 |
|  | 美元兌新台幣 | 112.11.02 | 10,000仟歐元／324,750仟元 |
|  | 英鎊兌美元 | 112.10.31 | 7,405仟英鎊／9,000仟美元 |
|  | 美元兌美元 | 112.10.03 | 22,787仟歐元／24,000仟美元 |
|  | 美元兌新台幣 | 112.11.02 | 10,000仟歐元／338,455仟元 |
|  | 美元兌新台幣 | 112.11.15-112.11.17 | 7,000仟美元／219,318仟元 |
|  | 美元兌泰銖 | 112.10.12-112.12.20 | 20,500仟美元／727,243仟泰銖 |
|  | 美元兌波蘭幣 | 112.10.23-112.11.06 | 6,900仟美元／29,241仟波蘭幣 |

|  | 別 | 到期期間 | 合約金額 |
|---|---|---|---|
| 111年12月31日 | 美元兌新台幣 | 112.01.03-112.11.17 | 230,000仟美元／6,573,997仟元 |
|  | 美元兌人民幣 | 112.01.04-112.04.06 | 85,071仟美元／588,826仟人民幣 |
|  | 美元兌港幣 | 112.02.03 | 1,070仟美元／8,331仟港幣 |
|  | 美元兌新台幣 | 112.04.06-112.07.03 | 40,000仟歐元／1,261,756仟元 |
|  | 人民幣兌新台幣 | 112.02.02 | 63,000仟人民幣／276,040仟元 |
|  | 美元兌新台幣 | 112.01.03-112.06.21 | 100,000仟美元／2,863,974仟元 |
|  | 英鎊兌美元 | 112.01.31 | 7,466仟英鎊／9,000仟美元 |
|  | 美元兌泰銖 | 112.01.24 | 15,000仟美元／526,510仟泰銖 |
|  | 美元兌波蘭幣 | 112.01.05-112.01.17 | 7,400仟美元／34,111仟波蘭幣 |
|  | 人民幣兌新台幣 | 112.02.02 | 63,000仟人民幣／277,948仟元 |

|  | 別 | 到期期間 | 合約金額 |
|---|---|---|---|
| 111年9月30日 | 美元兌新台幣 | 111.10.24-112.08.07 | 287,000仟美元／8,034,659仟元 |
|  | 美元兌人民幣 | 111.10.14 | 20,000仟美元／139,727仟人民幣 |
|  | 美元兌港幣 | 111.10.31 | 2,030仟美元／15,927仟港幣 |
|  | 英鎊兌美元 | 111.10.31 | 4,614仟英鎊／5,000仟美元 |
|  | 美元兌人民幣 | 111.10.11-111.12.13 | 59,400仟美元／412,848仟人民幣 |
|  | 美元兌新台幣 | 111.10.24-112.06.21 | 120,000仟美元／3,468,740仟元 |
|  | 美元兌泰銖 | 111.10.21-111.11.21 | 22,000仟美元／810,853仟泰銖 |
|  | 英鎊兌美元 | 111.10.31 | 12,993仟英鎊／14,000仟美元 |
|  | 美元兌波蘭幣 | 111.10.11-111.10.31 | 10,400仟美元／50,342仟波蘭幣 |
```
