```markdown
| (十一) 無形資產 | 電腦軟體 | 權利金 | 商譽 | 其他 | 合計 |
| --- | --- | --- | --- | --- | --- |
| 112年1月1日 | $ 7,099,807 | $ 6,117,679 | $ 639,561 | $ 348,766 | $ 14,205,813 |
| 累計攤銷及減損 | (5,700,830) | (5,162,742) | (639,561) | (289,485) | (11,792,618) |
| 合計 | $ 1,398,977 | $ 954,937 | $ | $ 59,281 | $ 2,413,195 |
| 112年 | $ 1,398,977 | $ 954,937 | $ | $ 59,281 | $ 2,413,195 |
| 1月1日 | $ 1,398,977 | $ 954,937 | $ | $ 59,281 | $ 2,413,195 |
| 增添 | 1,086,345 | 256,412 | $ | 45,516 | 1,388,273 |
| 重分類 | 85,899 | $ | $ | (85,899) | $ |
| 攤銷費用 | (839,054) | (448,870) | $ | (5,687) | (1,293,611) |
| 淨兌換差額 | 29 | 15,461 | $ | $ | 45 |
| 9月30日 | $ 1,732,196 | $ 777,940 | $ | $ 13,256 | $ 2,523,392 |
| 112年9月30日 | $ 3,581,614 | $ 2,901,942 | $ 639,561 | $ 323,376 | $ 7,446,493 |
| 累計攤銷及減損 | (1,849,418) | (2,124,002) | (639,561) | (310,120) | (4,923,101) |
| 合計 | $ 1,732,196 | $ 777,940 | $ | $ 13,256 | $ 2,523,392 |
| 111年1月1日 | $ 5,639,381 | $ 5,805,930 | $ 639,561 | $ 281,520 | $ 12,366,392 |
| 累計攤銷及減損 | (4,737,026) | (4,517,428) | (639,561) | (240,683) | (10,134,698) |
| 合計 | $ 902,355 | $ 1,288,502 | $ | $ 40,837 | $ 2,231,694 |
| 111年 | $ 902,355 | $ 1,288,502 | $ | $ 40,837 | $ 2,231,694 |
| 1月1日 | $ 902,355 | $ 1,288,502 | $ | $ 40,837 | $ 2,231,694 |
| 增添 | 1,406,498 | 38,402 | $ | 31,270 | 1,476,170 |
| 攤銷費用 | (715,768) | (468,510) | $ | (16,171) | (1,200,449) |
| 淨兌換差額 | 421 | (3,680) | $ | $ | 2,395 |
| 9月30日 | $ 1,593,506 | $ 854,714 | $ | $ 58,331 | $ 2,506,551 |
| 111年9月30日 | $ 7,047,842 | $ 5,850,280 | $ 639,561 | $ 351,743 | $ 13,889,426 |
| 累計攤銷及減損 | (5,454,336) | (4,995,566) | (639,561) | (293,412) | (11,382,875) |
| 合計 | $ 1,593,506 | $ 854,714 | $ | $ 58,331 | $ 2,506,551 |
```
