```markdown
# (二) 客戶合約收入之細分

### 112年1月1日至9月30日

|  | 鋼 鐵 部 門 | 非 鋼 鐵 部 門 | 合 計 |
|---|---|---|---|
| 商品或勞務之類型 | | | |
| 商品銷售收入 | $214,349,867 | $39,782,405 | $254,132,272 |
| 工程、勞務及其他收入 | 3,080,548 | 17,719,430 | 20,799,978 |
| | $217,430,415 | $57,501,835 | $274,932,250 |

### 111年1月1日至9月30日

|  | 鋼 鐵 部 門 | 非 鋼 鐵 部 門 | 合 計 |
|---|---|---|---|
| 商品或勞務之類型 | | | |
| 商品銷售收入 | $277,784,546 | $54,417,922 | $332,202,468 |
| 工程、勞務及其他收入 | 4,406,676 | 17,581,140 | 21,987,816 |
| | $282,191,222 | $71,999,062 | $354,190,284 |

## 二十五、 稅前淨利

### (一) 利息收入

|  | 112年 | 111年 | 112年 | 111年 |
|---|---|---|---|---|
| 7月1日至9月30日 | | | | |
| 銀行存款利息收入 | $136,610 | $73,103 | $466,236 | $155,006 |
| 其他利息收入 | 49,329 | 35,969 | 146,569 | 81,435 |
| | $185,939 | $109,072 | $612,805 | $236,441 |

### (二) 其他收入

|  | 112年 | 111年 | 112年 | 111年 |
|---|---|---|---|---|
| 7月1日至9月30日 | | | | |
| 股利收入 | $859,489 | $483,828 | $1,382,348 | $1,375,262 |
| 租金收入 | 39,229 | 38,829 | 119,099 | 115,687 |
| 其他 | 259,487 | 254,164 | 765,464 | 1,340,209 |
| | $1,158,205 | $776,821 | $2,266,911 | $2,831,158 |
```
