```markdown
# 智邦科技股份有限公司及子公司

## 合併現金流量表

### 民國 111 年及 110 年 1 月 1 日至 9 月 30 日

(僅經核閱，未依一般公認審計準則查核)

### 單位：新台幣仟元

| 代 碼 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|-------|---------------------|---------------------|
| A10000 | 本期稅前淨利 | $ 7,496,557 | $ 3,892,349 |
| A20010 | 收益費損項目： | | |
| A20100 | 折舊費用 | 598,791 | 530,188 |
| A20200 | 攤銷費用 | 44,782 | 31,982 |
| A20300 | 預期信用減損（迴轉利益）損失 | (1,310) | 4 |
| A20400 | 透過損益按公允價值衡量金融資產及負債之淨損失（利益） | 38,710 | (167,682) |
| A20900 | 財務成本 | 44,120 | 30,674 |
| A21200 | 利息收入 | (63,453) | (25,761) |
| A21300 | 股利收入 | (11,888) | (8,656) |
| A22300 | 採用權益法認列之關聯企業損失份額 | 894 | 1,031 |
| A22500 | 處分及報廢不動產、廠房及設備（利益）損失 | (578) | 576 |
| A23800 | 存貨跌價及呆滯損失 | 188,371 | 13,052 |
| A24100 | 未實現外幣兌換淨利益 | (30,142) | (70,455) |
| A29900 | 補助款收入攤銷 | (6,878) | (8,306) |
| A29900 | 租賃修改利益 | 1 | (206) |
| A30000 | 營業活動資產及負債淨變動數 | | |
| A31150 | 應收票據及帳款 | (642,493) | 59,248 |
| A31160 | 應收帳款－關係人 | (167) | 376 |
| A31180 | 其他應收款 | (124,510) | (118,891) |
| A31190 | 其他應收款－關係人 | (22) | 330 |
| A31200 | 存 貨 | 618,512 | (4,220,564) |
| A31230 | 預付款項 | (10,009) | 82,449 |
| A31240 | 其他流動資產 | 12,554 | (31,920) |
| A32125 | 合約負債 | 16,484 | 455,884 |
| A32150 | 應付票據及帳款 | (540,753) | 964,266 |
| A32180 | 其他應付款 | 705,326 | 72,102 |
| A32190 | 其他應付款－關係人 | - | 1,682 |
| A32200 | 負債準備 | 82,808 | (20,698) |
| A32220 | 退款負債 | 10,069 | 36,938 |
| A32240 | 淨確定福利負債 | (1,632) | (594) |
| A33000 | 營運產生之現金流入 | 8,424,142 | 1,499,398 |
| A33300 | 支付之利息 | (33,047) | (18,936) |
| A33500 | 支付之所得稅 | (1,000,489) | (1,098,002) |
| AAAA | 營業活動之淨現金流入 | 7,390,606 | 382,460 |

(接次頁)
```
