```markdown
# 台達電子工業股份有限公司及子公司

## 合併資產負債表

### 民國112年9月30日及民國111年12月31日、9月30日

#### 單位：新台幣仟元

| 負債及權益 | 附註 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
| --- | --- | --- | --- | --- |
| 流動負債 |  |  |  |  |
| 2100 | 短期借款 | 六(十一) | $1,620,129 | - | $2,076,762 | - | $2,040,552 | - |
| 2120 | 透過損益按公允價值衡量之金融負債－流動 | 六(二) | 468,486 | - | 74,232 | - | 544,395 | - |
| 2130 | 合約負債－流動 | 六(十九) | 7,834,140 | 2 | 7,536,826 | 2 | 6,740,837 | 2 |
| 2150 | 應付票據 |  | 3,693 | - | 1,406 | - | 1,613 | - |
| 2170 | 應付帳款 |  | 61,964,147 | 14 | 62,685,739 | 15 | 66,869,725 | 16 |
| 2180 | 應付帳款－關係人 | 七 | 24,809 | - | 28,525 | - | 40,029 | - |
| 2200 | 其他應付款 | 六(十二)及七 | 41,826,821 | 9 | 40,718,682 | 10 | 36,943,215 | 9 |
| 2230 | 本期所得稅負債 |  | 5,409,713 | 1 | 5,547,274 | 1 | 4,635,045 | 1 |
| 2320 | 一年或一營業週期內到期長期負債 | 六(十四) | 2,992,332 | 1 | 42,424 | - | 130,070 | - |
| 2399 | 其他流動負債－其他 |  | 6,195,378 | 1 | 6,301,558 | 1 | 4,858,812 | 1 |
| 21XX | 流動負債合計 |  | 128,339,648 | 28 | 125,013,428 | 29 | 122,804,293 | 29 |
| 非流動負債 |  |  |  |  |  |  |  |  |
| 2530 | 應付公司債 | 六(十三) | 29,100,000 | 6 | 11,600,000 | 3 | 6,600,000 | 2 |
| 2540 | 長期借款 | 六(十四) | 26,236,411 | 6 | 32,737,342 | 8 | 49,407,140 | 11 |
| 2570 | 遞延所得稅負債 |  | 23,651,821 | 5 | 19,342,795 | 5 | 19,475,168 | 5 |
| 2580 | 租賃負債－非流動 |  | 2,243,394 | 1 | 2,302,735 | - | 2,240,444 | - |
| 2600 | 其他非流動負債 |  | 10,941,288 | 2 | 9,510,321 | 2 | 8,541,042 | 2 |
| 25XX | 非流動負債合計 |  | 92,172,914 | 20 | 75,493,193 | 18 | 86,263,794 | 20 |
| 2XXX | 負債總計 |  | 220,512,562 | 48 | 200,506,621 | 47 | 209,068,087 | 49 |
| 權益 |  |  |  |  |  |  |  |  |
| 股本 | 六(十六) |  |  |  |  |  |  |  |
| 3110 | 普通股股本 |  | 25,975,433 | 6 | 25,975,433 | 6 | 25,975,433 | 6 |
| 資本公積 | 六(十七) |  |  |  |  |  |  |  |
| 3200 | 資本公積 |  | 54,688,468 | 12 | 49,321,767 | 12 | 49,111,839 | 11 |
| 保留盈餘 | 六(十八) |  |  |  |  |  |  |  |
| 3310 | 法定盈餘公積 |  | 35,674,625 | 7 | 32,386,305 | 8 | 32,386,305 | 8 |
| 3320 | 特別盈餘公積 |  | 2,968,678 | 1 | 16,166,722 | 4 | 16,166,722 | 4 |
| 3350 | 未分配盈餘 |  | 74,694,632 | 16 | 65,907,358 | 15 | 58,039,010 | 13 |
| 其他權益 |  |  |  |  |  |  |  |  |
| 3400 | 其他權益 |  | 3,481,388 | 1 | (2,968,678) | (1) | 301,714 | - |
| 31XX | 歸屬於母公司業主之權益 |  |  |  |  |  |  |  |
| 合計 |  | 197,483,224 | 43 | 186,788,907 | 44 | 181,981,023 | 42 |
| 36XX | 非控制權益 | 四(三) |  | 43,111,903 | 9 | 38,578,278 | 9 | 37,253,843 | 9 |
| 3XXX | 權益總計 |  | 240,595,127 | 52 | 225,367,185 | 53 | 219,234,866 | 51 |
| 重大或有負債及未認列之合約承諾 |  |  |  |  |  |  |  |  |
| 重大之期後事項 | 十一 |  |  |  |  |  |  |  |
| 3X2X | 負債及
