```markdown
| 投资公司名称 | 子公司名称 | 业务性质 | 所持股股权百分比 | 说明 |
| --- | --- | --- | --- | --- |
| 奇力新电子股份有限公司 | 奇力新电子株式会社 | 电子零件之买卖 | - | 100% | 1.5.7. |
| 奇力新国际有限公司 | 奇力新国际有限公司 | 电子零件之买卖 | 100% | 100% | 100% | 1.5. |
| 奇力新控股（萨摩亚）有限公司 | 奇力新控股（萨摩亚）有限公司 | 一般投资 | 100% | 100% | 100% | 1.5. |
| 奇力新控股（香港）有限公司 | 奇力新控股（香港）有限公司 | 一般投资 | 94.15% | 94.15% | 94.15% | 1.5. |
| 奇力新亚洲投资有限公司 | 奇力新亚洲投资有限公司 | 一般投资 | 100% | 100% | 100% | 1.5. |
| Ferroxcube International Holding B.V. | Ferroxcube International Holding B.V. | 一般投资 | 100% | 100% | 100% | 1.5. |
| 美磊科技股份有限公司 | 美磊科技股份有限公司 | 电子零件之制造及销售 | 100% | 100% | 100% | 1.5. |
| 美桀科技股份有限公司 | 美桀科技股份有限公司 | 电子零件之销售 | 100% | 100% | 100% | 1.5. |
| 帛汉股份有限公司 | 帛汉股份有限公司 | 生产经营电脑配套元件及其他电子器件 | 100% | 100% | 100% | 1.5. |

| Yageo Europe Holding B.V. | Yageo UK Ltd | 一般投资控股 | - | - | 100% | 1.7. |
| Yageo Europe B.V. | Yageo Europe B.V. | 一般投资控股 | 100% | 100% | 100% | 1. |
| Yageo Italy SRL | Yageo Italy SRL | 一般投资控股 | 100% | 100% | 100% | 1. |
| Yageo Electronics Holding (S) PTE. LTD. | Yageo Electronics Holding (S) PTE. LTD. | 一般投资控股 | 100% | 100% | - | 1.8. |
| Yageo Electronics Investment (S) PTE. LTD. | Yageo Electronics Investment (S) PTE. LTD. | 一般投资控股 | 100% | 100% | - | 1.8. |
| 圆益控股（盖曼）有限公司 | 圆益控股（盖曼）有限公司 | 一般投资控股 | 97.15% | 97.15% | 97.45% | 3.4. |
| YAGEO Holding France | YAGEO Holding France | 一般投资控股 | 100% | - | - | 1.8. |
| Yageo Europe Kft | Yageo Europe Kft | 一般投资控股 | 100% | 100% | 100% | 1. |
| 圆巨电子（中国）有限公司 | 圆巨电子（中国）有限公司 | 被动元件之产销 | 100% | 100% | 100% | - |
| 圆巨电子（东莞）有限公司 | 圆巨电子（东莞）有限公司 | 被动元件之产销 | 100% | 100% | 100% | 1. |
| 圆巨（苏州）销售有限公司 | 圆巨（苏州）销售有限公司 | 被动元件之销售 | 100% | 100% | 100% | 1. |
| 圆巨电子元件（苏州）有限公司 | 圆巨电子元件（苏州）有限公司 | 被动元件之产销 | 100% | 100% | 100% | 1. |

| 圆益控股（盖曼）有限公司 | 圆益控股（盖曼）有限公司 | 电子零件之销售 | 100% | 100% | 100% | - |
| 圆益电子元件销售股份有限公司 | 圆益电子元件销售股份有限公司 | 电子零件之销售 | - | - | 100% | 1.6. |
| 君耀（香港）有限公司 | 君耀（香港）有限公司 | 电子零件之销售 | 100% | 100% | 100% | 1.3. |
| 广东百圳君耀电子有限公司 | 广东百圳君耀电子有限公司 | 製造及销售过电压及过电流之保护电子元件 | 100% | 100% | 100% | 1. |
| 圆益元件股份有限公司 | 圆益元件股份有限公司 | 製造及销售过电压及过电流之保护电子元件 | 100% | 100% | 100% | 1.6. |

| 奇力新国际有限公司 | 奇力新国际有限公司 | 电子零件之制造及销售 | 50% | 50% | 50% | 1.5. |
| Belkin International Enterprises Limited | Belkin International Enterprises Limited | 一般投资 | - | - | 54% | 1.5.7. |
| 东莞奇力新电子有限公司 | 东莞奇力新电子有限公司 | 电子零件之制造及销售 | 100% | 100% | 100% | 1.5. |
| 湖南奇力新电子科技有限公司 | 湖南奇力新电子科技有限公司 | 电子零件之制造及销售 | 100% | 100% | 100% | 1.5. |
| 深圳奇力新电子有限公司 | 深圳奇力新电子有限公司 | 电子零件之买卖 | 100% | 100% | 100% | 1.5. |
| 奇力新控股（萨摩亚）有限公司 | 奇力新控股（萨摩亚）有限公司 | 一般投资 | 5.85% | 5.85% | 5.85% | 1.5. |
| 蘇州奇益新电子有限公司 | 蘇州奇益新电子有限公司 | 电子零件之买卖 | 100% | 100% | 100% | 1.5. |
| 奇力新电子（越南）有限公司 | 奇力新电子（越南）有限公司 | 电子零件之制造及销售 | 100% | 100% | 100% | 1.5. |

(接次页)
```
