```markdown
# 聯華電子股份有限公司及子公司
## 合併現金流量表
### 民國一一二年及一一一年一月至三月三十一日
#### （僅經核閱，未依審計準則查核）
#### （金額均以新台幣千元為單位）

| 項目 | 一一二年一月一日至三月三十一日 | 一一一年一月一日至三月三十一日 |
| --- | --- | --- |
| 營業活動之現金流量： |  |  |
| 本期稅前淨利 | $19,128,451 | $23,647,874 |
| 調整項目： |  |  |
| 折舊費用 | 9,222,348 | 10,656,479 |
| 攤銷費用 | 680,441 | 733,034 |
| 預期信用減損利益數 | (38,586) | (945) |
| 透過損益按公允價值衡量之金融資產及負債淨利益 | (705,829) | (2,417,830) |
| 利息費用 | 321,534 | 491,766 |
| 利息收入 | (1,229,719) | (168,970) |
| 股利收入 | (13,945) | (16,630) |
| 股份基礎給付酬勞成本 | 288,911 | 377,259 |
| 採用權益法認列之關聯企業及合資損失（利益）之份額 | (3,248,054) | 1,858,432 |
| 處分不動產、廠房及設備利益 | (59,020) | (61,418) |
| 處分採用權益法之投資利益 | (19,548) | - |
| 買回應付公司債損失 | - | 31,852 |
| 金融資產及負債兌換損失（利益） | (201,595) | 226,914 |
| 租約修改利益 | - | - |
| 遞延政府補助攤銷 | (931,702) | (1,053,908) |
| 收益費損項目合計 | 4,065,185 | 10,656,035 |
| 與營業相關之資產/負債變動數： |  |  |
| 透過損益按公允價值衡量之金融資產及負債 | 275,156 | (234,821) |
| 合約資產 | 34,883 | (18,952) |
| 應收帳款 | 9,862,071 | (2,579,924) |
| 其他應收款 | 87,186 | 64,652 |
| 存貨 | (1,676,588) | (2,133,994) |
| 預付款項 | 871,406 | (434,127) |
| 履行合約成本 | (42,292) | (56,949) |
| 合約負債 | (286,340) | 790,809 |
| 應付帳款 | 265,961 | 638,634 |
| 其他應付款 | (3,078,183) | 809,329 |
| 其他流動負債 | (557,204) | (166,346) |
| 淨確定福利負債 | (227,347) | (662,537) |
| 其他非流動負債-其他 | 10,785 | 20,880 |
| 營運產生之現金流入 | 28,733,130 | 30,340,563 |
| 取收之利息 | 1,196,844 | 170,552 |
| 取收之股利 | 37,732 | 506,591 |
| 支付之利息 | (67,143) | (131,334) |
| 支付之所得稅 | (2,936,364) | (768,576) |
| 營業活動之淨現金流入 | 26,964,199 | 30,117,796 |

---

接下頁
```
