```markdown
| 投資公司名稱 | 子公司名稱 | 業務性質 | 所持股權百分比（%） | 說明 |
| --- | --- | --- | --- | --- |
| 超楊投資股份有限公司 | 新懋投資股份有限公司 (新懋) | 一般投資 | 30 | 直接及間接持股合計為100% |
|  | 鼎大投資股份有限公司 (鼎大) | 一般投資 | 30 | 直接及間接持股合計為100% |
|  | 高瑞投資股份有限公司 (高瑞) | 一般投資 | 25 | 直接及間接持股合計為100% |
|  | 群裕投資股份有限公司 (群裕) | 一般投資 | 25 | 直接及間接持股合計為100% |
| 新懋投資股份有限公司 | 弘全投資股份有限公司 (弘全) | 一般投資 | 5 | 直接及間接持股合計為100% |
|  | 啟翊投資股份有限公司 (啟翊) | 一般投資 | 5 | 直接及間接持股合計為100% |
|  | 景成發投資股份有限公司 (景成發) | 一般投資 | 4 | 直接及間接持股合計為100% |
|  | 昇利達投資股份有限公司 (昇利達) | 一般投資 | 4 | 直接及間接持股合計為100% |
|  | 立慶隆投資股份有限公司 (立慶隆) | 一般投資 | 5 | 直接及間接持股合計為100% |
| 鎮泰電子陶瓷股份有限公司 | Lefkara Ltd. (Lefkara) | 投資控股 | 100 | 直接及間接持股合計為100% |
|  | 鎮泰電子（蘇州）有限公司 (鎮泰蘇州) | 電子陶瓷之製造及買賣 | 100 | 直接及間接持股合計為100% |
|  | 上海希科陶瓷電器有限公司 (上海希科) | 電子陶瓷之製造及買賣 | 100 | 直接及間接持股合計為100% |
|  | 蘇州鎮泰材料科技有限公司 (鎮泰科技) | 航空及航海用之救生器材製造及買賣 | 100 | 直接及間接持股合計為100% |
| 鑫科材料科技股份有限公司 | Thintech Global Limited (鑫鴻) | 投資控股 | 100 | 直接及間接持股合計為100% |
|  | 太倉鑫昌光電材料有限公司 (鑫昌光電) | 金屬靶材製造與銷售 | 100 | 直接及間接持股合計為100% |
| 中鋼運通股份有限公司 | CSE Transport Corporation (CSEP) | 散裝船舶運輸 | 100 | 直接及間接持股合計為100% |
|  | 運鴻投資股份有限公司 (運鴻) | 一般投資 | 50 | 直接及間接持股合計為100% |
|  | 高雄港裝卸股份有限公司 (高港裝卸) | 船舶貨物裝卸承揽業 | 66 | 直接及間接持股合計為100% |
|  | ALU Investment Offshore Corporation (ALU) | 投資控股 | 100 | 直接及間接持股合計為100% |
| ALU Investment Offshore Corporation | United Steel International Development Corporation (鋼聯) | 投資控股 | 65 | 直接及間接持股合計為79% |
```

- 17 -
