```markdown
| (十一) 無形資產 | 電腦軟體 | 權利金 | 商譽 | 其他 | 合計 |
| --- | --- | --- | --- | --- | --- |
| 112年1月1日 | $ 7,099,807 | $ 6,117,679 | $ 639,561 | $ 348,766 | $ 14,205,813 |
| 累計攤銷及減損 | ( 5,700,830) | ( 5,162,742) | ( 639,561) | ( 289,485) | ( 11,792,618) |
| 合計 | $ 1,398,977 | $ 954,937 | $ | $ 59,281 | $ 2,413,195 |
| 112年 |  |  |  |  |  |
| 1月1日 | $ 1,398,977 | $ 954,937 | $ | $ 59,281 | $ 2,413,195 |
| 增添 | 1,001,671 | 165,990 | $ | 30,650 | 1,198,311 |
| 攤銷費用 | ( 282,137) | ( 175,540) | $ | ( 5,587) | ( 463,264) |
| 淨兌換差額 | 56 | 6,409 | $ | $ 56 | 6,409 |
| 3月31日 | $ 2,118,567 | $ 951,796 | $ | $ 84,288 | $ 3,154,651 |
| 112年3月31日 |  |  |  |  |  |
| 成本 | $ 3,410,971 | $ 2,809,805 | $ 639,561 | $ 376,974 | $ 7,237,311 |
| 累計攤銷及減損 | ( 1,292,404) | ( 1,858,009) | ( 639,561) | ( 292,686) | ( 4,082,660) |
| 合計 | $ 2,118,567 | $ 951,796 | $ | $ 84,288 | $ 3,154,651 |
| 111年1月1日 |  |  |  |  |  |
| 成本 | $ 5,639,381 | $ 5,805,930 | $ 639,561 | $ 281,520 | $ 12,366,392 |
| 累計攤銷及減損 | ( 4,737,026) | ( 4,517,428) | ( 639,561) | ( 240,683) | ( 10,134,698) |
| 合計 | $ 902,355 | $ 1,288,502 | $ | $ 40,837 | $ 2,231,694 |
| 111年 |  |  |  |  |  |
| 1月1日 | $ 902,355 | $ 1,288,502 | $ | $ 40,837 | $ 2,231,694 |
| 增添 | 1,294,985 | 14,548 | $ | 12,000 | 1,321,533 |
| 攤銷費用 | ( 224,355) | ( 156,608) | $ | ( 5,148) | ( 386,111) |
| 淨兌換差額 | 471 | 1,859 | $ | $ 746 | 3,076 |
| 3月31日 | $ 1,973,456 | $ 1,148,301 | $ | $ 48,435 | $ 3,170,192 |
| 111年3月31日 |  |  |  |  |  |
| 成本 | $ 6,935,285 | $ 5,828,061 | $ 639,561 | $ 302,478 | $ 13,705,385 |
| 累計攤銷及減損 | ( 4,961,829) | ( 4,679,760) | ( 639,561) | ( 254,043) | ( 10,535,193) |
| 合計 | $ 1,973,456 | $ 1,148,301 | $ | $ 48,435 | $ 3,170,192 |
```
