```markdown
(承前頁)

| 投 資 公 司 名 稱 | 子 公 司 名 稱 | 所 持 股 權 百 分 比 |
|------------------|------------------|------------------|
| AIRTAC INTERNATIONAL (SINGAPORE) PTE. LTD. | AIRTAC INDUSTRIAL (MALAYSIA) SDN. BHD. | 100% 100% 100% |
| AIRTAC INDUSTRIAL CO., LTD. | 廣東亞德客智能裝備有限公司 100% 100% 100% | 100% 100% 100% |
| 亞德客（中國）有限公司 | 亞德客（天津）智能科技有限公司 100% 100% 100% | 100% 100% 100% |
| 福建亞德客智能裝備有限公司 | 亞德客（山東）自動化有限公司 100% - - | 100% - - |

**備註：亞德客（山東）自動化有限公司成立於 112 年 6 月 16 日，由合併公司之亞德客（中國）有限公司 100%投資設立，主要經營範圍為工業自動控制系統裝置銷售、智慧倉儲裝備銷售、金屬工具銷售、環境保護專用設備銷售、機械設備銷售、電氣設備銷售、機械電氣設備銷售、普通機械設備安裝服務、機械設備研發。**

**十二、不動產、廠房及設備**

| 112年9月30日 | 111年12月31日 | 111年9月30日 |
|--------------|--------------|--------------|
| 自 用         | $ 28,887,680 | $ 28,734,768 | $ 28,295,229 |
| 營業租賃出租 | 55,083       | 94,407       | 113,479       |
| $ 28,942,763 | $ 28,829,175 | $ 28,408,708 |

**(一) 自 用**

| 成 本 | 自 有 土 地 | 建 築 物 | 機 器 設 備 | 運 輸 設 備 | 辦 公 設 備 及 其 他 設 備 | 建 造 中 之 不 動 產 | 合 計 |
|-------|-------------|----------|------------|------------|----------------|----------------|--------|
| 112 年 1 月 1 日餘額 | $ 890,359 | $ 13,066,344 | $ 18,820,395 | $ 388,781 | $ 2,190,625 | $ 2,308,055 | $ 37,664,559 |
| 增 添 | - | 43,551 | 393,040 | 77,533 | 271,355 | 1,178,208 | 1,963,687 |
| 處 分 | - | ( 53) | ( 474,419) | ( 26,693) | ( 106,498) | - | ( 607,663) |
| 重 分 類 | - | 1,899,648 | 635,721 | 24,669 | 109,242 | ( 2,669,280) | - |
| 淨兌換差額 | - | 30,537 | 25,738 | 748 | ( 8,005) | ( 3,427) | 45,591 |
| 112 年 9 月 30 日餘額 | $ 890,359 | $ 15,040,027 | $ 19,400,475 | $ 465,038 | $ 2,456,719 | $ 813,556 | $ 39,066,174 |

**累計折舊**

| 112 年 1 月 1 日餘額 | $ - | $ 2,112,182 | $ 5,326,308 | $ 251,276 | $ 1,240,025 | $ - | $ 8,929,791 |
|------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|
| 折舊費用 | - | 244,196 | 1,157,955 | 35,966 | 261,837 | - | 1,699,954 |
| 處 分 | - | ( 53) | ( 326,233) | ( 25,794) | ( 104,791) | - | ( 456,871) |
| 淨兌換差額 | - | 11,242 | 7,606 | ( 1,497) | ( 11,731) | - | - 5,620 |
| 112 年 9 月 30 日餘額 | $ - | $ 2,367,567 | $ 6,165,636 | $ 259,951 | $ 1,385,340 | $ - | $ 10,178,494 |
| 112 年 9 月 30 日淨額 | $ 890,359 | $ 12,672,460 | $ 13,234,839 | $ 205,087 | $ 1,071,379 | $ 813,556 | $ 28,887,680 |

**111 年 12 月 31 日及 112 年 1 月 1 日餘額**

| 111 年 12 月 31 日及 112 年 1 月 1 日餘額 | $ 890,359 | $ 10,954,162 | $ 13,494,087 | $ 137,505 | $ 950,600 | $ 2,308,055 | $ 28,734,768 |

**成 本**

| 111 年 1 月 1 日餘額 | $ 890,359 | $ 12,736,461 | $ 14,615,907 | $ 415,282 | $ 1,920,056 | $ 1,150,496 | $ 31,728,561 |
|------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|
| 增 添 | - | 108,286 | 3,576,277 | 33,504 | 311,743 | 997,956 | 5,027,766 |
| 處 分 | - | - | ( 446,841) | ( 22,807) | ( 116,908) | - | ( 386,556) |
| 本期重分類 | - | 38,194 | - | - | - | - | - 38,194 |
| 淨兌換差額 | - | 258,815 | 338,020 | 11,786 |
